cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
235,116,4.09,10,8,104,15,583
105,115,4.09,10,7,110,23,584
233,113,3.64,10,8,105,24,585
230,114,3.9,10,7,111,20,586
219,117,3.78,10,7,106,18,587
369,115,3.65,10,8,113,18,588
258,114,3.73,10,7,108,21,589
384,116,3.19,10,7,105,20,590
327,115,3.96,10,7,107,22,591
355,118,3.32,9,7,98,19,592
446,116,3.44,10,7,106,22,593
366,116,3.3,10,7,107,25,594
321,113,3.54,10,7,104,25,595
396,113,3.28,10,7,105,18,596
426,116,3.88,8,7,124,19,597
397,145,3.03,8,8,131,20,598
440,148,3.67,8,7,132,24,599
334,151,3.82,8,7,136,28,600
285,154,3.91,9,7,126,24,601
381,147,3.96,8,7,130,26,602
314,152,3.57,8,7,118,21,603
345,151,3.17,7,7,126,12,604
362,148,3.7,9,7,125,21,605
341,151,3.23,9,8,128,25,606
372,149,3.48,8,8,127,18,607
318,142,3.87,8,8,119,17,608
368,153,3.31,8,8,129,31,609
343,152,3.97,8,8,125,22,610
285,154,3.29,8,7,127,15,611
339,152,3.98,7,8,122,28,612
338,159,3.08,9,8,125,26,613
330,147,3.61,8,7,116,18,614
359,144,3.58,8,8,120,20,615
312,143,3.27,8,8,124,19,616
319,102,3.16,10,7,112,26,617
310,123,3.09,7,8,122,21,618
333,120,3.29,9,8,124,30,619
339,108,3.83,8,8,121,30,620
355,108,3.56,9,8,122,22,621
352,115,3.8,8,8,120,18,622
325,139,3.87,8,8,132,25,623
314,138,3.7,13,8,147,21,624
351,102,4.02,13,8,124,20,625
366,104,3.44,12,8,119,22,626
315,122,3.58,13,8,127,25,627
380,126,3.83,13,8,123,21,628
372,98,3.44,13,9,128,13,629
363,112,3.2,12,9,113,20,630
336,128,4.03,13,9,125,29,631
388,0,3.56,11,8,127,23,632
374,104,3.71,13,9,135,23,633
392,124,3.84,13,8,124,26,634
397,130,3.74,13,9,125,26,635
341,139,3.92,13,9,122,27,636
365,136,3.11,13,9,123,23,637
385,132,3.92,13,8,124,23,638
352,143,4.1,13,9,130,21,639
372,139,3.42,12,8,131,15,640
335,144,3.09,15,8,129,18,641
376,144,3.76,12,8,122,20,642
345,140,3.36,13,8,132,30,643
324,142,3.93,13,8,99,18,644
357,129,3.8,13,8,111,19,645
391,130,3.29,13,8,118,15,646
370,137,3.5,13,9,120,20,647
223,139,3.15,12,8,135,24,648
221,138,3.77,11,9,179,16,649
251,135,3.22,14,9,120,17,650
346,132,3.06,10,9,127,21,651
295,133,3.69,10,10,131,23,652
329,141,3.27,10,9,127,21,653
303,133,3.18,10,9,122,25,654
295,116,3.33,10,9,152,12,655
306,147,3.75,10,9,113,16,656
309,78,4.23,10,9,134,19,657
277,101,3.45,10,9,122,28,658
325,127,3.1,10,9,124,19,659
289,158,3.18,10,9,149,24,660
273,104,3.85,10,9,151,23,661
302,107,3.36,10,9,150,20,662
287,104,3.52,10,9,147,21,663
312,148,3.77,10,9,142,21,664
307,110,4.12,10,9,150,21,665
278,108,3.54,10,9,145,21,666
236,87,3.77,10,9,146,18,667
243,91,3.81,10,9,146,26,668
256,100,3.45,10,9,134,22,669
244,79,3.81,10,9,140,17,670
268,84,3.29,10,9,143,21,671
268,119,3.44,10,7,148,18,672
271,95,3.74,10,7,149,10,673
235,132,3.37,10,7,141,19,674
234,126,3.42,10,7,133,22,675
260,132,3.98,10,7,151,21,676
245,127,3.34,10,7,160,19,677
241,121,3.55,11,4,141,15,678
264,124,3.94,11,7,148,26,679
259,132,4.12,11,7,145,12,680
245,129,3.98,11,7,137,21,681
246,120,3.37,11,7,109,18,682
267,124,3.98,10,7,148,17,683
251,129,3.63,11,7,140,22,684
264,122,3.12,11,7,131,18,685
241,119,3.0,11,7,126,23,686
260,125,4.02,11,7,140,21,687
278,120,3.53,11,7,125,19,688
307,91,3.71,11,9,142,16,689
290,128,3.46,11,7,96,18,690
