cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
354,56,3.76,7,1,25,10,593
345,57,3.48,7,0,38,12,594
356,61,3.02,7,1,35,12,595
362,58,3.26,7,1,39,13,596
315,60,3.24,7,1,48,14,597
345,61,3.24,7,2,40,11,598
323,60,3.74,6,1,41,14,599
346,57,3.47,7,2,49,10,600
328,59,3.91,7,2,38,10,601
348,61,3.07,7,2,41,11,602
380,61,3.2,7,2,40,11,603
380,62,3.9,7,1,37,13,604
334,62,3.55,7,2,37,13,605
332,59,3.79,7,1,41,15,606
369,61,3.71,7,2,36,15,607
341,59,3.59,7,2,36,11,608
340,58,3.47,7,2,41,8,609
379,63,3.71,7,2,40,11,610
408,61,3.48,7,2,41,10,611
342,62,3.5,7,2,40,17,612
400,63,3.35,7,2,38,12,613
428,57,3.83,7,2,41,13,614
379,59,3.43,7,2,38,9,615
401,63,3.71,7,1,40,8,616
363,58,3.79,7,0,38,5,617
404,57,3.69,6,2,36,8,618
389,60,3.4,7,1,43,8,619
404,59,3.91,7,1,31,9,620
432,60,3.99,7,2,43,8,621
403,59,3.66,8,2,44,16,622
406,61,3.68,8,2,40,16,623
402,59,3.55,8,2,38,3,624
458,60,3.64,8,1,46,6,625
334,61,3.61,8,1,37,7,626
413,61,3.9,8,1,39,13,627
387,47,3.67,8,2,40,2,628
352,46,3.43,9,1,43,7,629
351,45,3.09,8,2,34,9,630
326,44,3.46,8,2,39,15,631
350,44,3.49,8,2,38,2,632
352,46,3.71,8,1,38,9,633
323,47,3.35,8,1,37,13,634
319,44,3.7,8,1,39,8,635
323,50,3.41,8,1,40,16,636
317,48,3.7,8,1,44,5,637
325,48,3.2,9,1,36,15,638
315,46,3.25,9,1,34,5,639
332,46,3.61,9,1,35,8,640
317,44,3.53,8,1,30,9,641
323,47,3.52,8,1,38,9,642
312,48,3.49,8,1,38,10,643
323,45,3.98,8,1,37,14,644
318,44,3.52,8,1,41,5,645
320,46,4.19,9,1,35,15,646
311,45,3.66,8,1,36,8,647
319,47,3.41,9,1,40,12,648
222,47,3.62,8,1,29,8,649
325,46,3.46,8,1,35,17,650
320,43,3.56,9,1,31,11,651
316,45,3.76,8,1,31,6,652
316,46,3.28,9,1,32,15,653
311,45,3.45,8,1,33,7,654
321,48,3.72,9,2,36,11,655
326,45,3.86,6,2,27,6,656
322,44,3.65,6,1,39,21,657
433,55,3.96,6,1,41,12,658
431,55,3.32,6,1,33,12,659
450,55,3.56,6,1,30,14,660
439,56,4.16,8,1,28,15,661
436,56,3.86,6,1,34,12,662
420,54,3.02,6,1,33,7,663
440,55,3.9,5,2,55,7,664
439,55,3.69,6,1,27,9,665
435,54,3.73,6,2,34,8,666
420,54,3.31,6,1,38,1,667
438,53,3.35,6,2,38,18,668
433,55,4.05,6,1,38,9,669
413,56,3.67,6,2,41,15,670
419,54,3.35,6,2,36,14,671
424,55,3.38,6,2,45,16,672
440,53,3.91,8,2,45,12,673
454,56,3.18,7,2,45,6,674
427,54,3.7,8,1,34,10,675
437,55,3.95,7,2,37,11,676
443,55,3.57,8,2,40,9,677
391,55,3.18,8,1,42,8,678
440,55,3.66,7,2,41,12,679
418,55,3.75,7,2,33,13,680
440,58,3.12,7,2,40,8,681
320,55,3.51,9,2,37,10,682
319,55,3.81,8,2,41,15,683
320,56,3.16,8,2,38,12,684
319,55,3.25,7,2,38,4,685
320,55,3.73,7,1,39,9,686
320,55,3.24,8,2,37,10,687
319,49,3.95,8,1,42,9,688
320,49,3.86,8,1,37,14,689
319,49,3.61,6,1,41,14,690
320,49,3.73,6,2,40,11,691
320,49,3.55,6,1,41,12,692
320,49,3.48,6,2,40,10,693
320,49,3.11,6,1,43,5,694
319,49,3.09,6,1,38,0,695
251,49,3.75,6,1,38,8,696
320,49,3.26,6,2,37,10,697
320,49,3.3,6,1,41,7,698
320,49,3.82,6,1,38,6,699
320,49,3.99,6,1,39,11,700
319,49,3.27,6,2,39,11,701
320,49,3.34,6,1,39,10,702
320,49,3.34,6,2,43,11,703
320,49,3.11,6,1,31,14,704
320,49,4.14,6,1,41,5,705
339,49,3.17,6,1,46,11,706
426,49,3.25,8,3,37,16,707
323,49,3.43,8,1,46,10,708
353,49,3.2,8,1,30,10,709
413,49,3.45,8,1,36,9,710
391,50,3.29,8,1,28,13,711
376,49,3.49,8,1,28,7,712
302,49,3.58,8,1,43,12,713
322,49,3.06,8,1,43,6,714
354,49,3.05,8,1,29,14,715
406,49,3.25,8,1,35,9,716
355,49,3.28,8,1,39,9,717
331,57,3.91,8,1,38,9,718
379,57,3.52,8,1,35,8,719
394,57,3.17,8,1,46,10,720
405,57,3.41,8,1,34,9,721
439,56,3.58,6,1,37,8,722
396,57,3.8,8,1,42,11,723
293,57,3.35,7,2,34,10,724
332,57,3.1,7,1,39,9,725
366,56,4.1,7,1,32,8,726
320,56,3.21,7,2,30,10,727
396,57,3.18,8,2,35,13,728
362,56,3.12,8,2,32,12,729
399,56,3.82,7,2,28,6,730
373,57,4.39,7,2,31,11,731
410,56,3.19,7,1,31,11,732
379,56,3.07,7,2,32,9,733
399,57,3.92,7,1,36,9,734
411,56,4.1,8,2,32,8,735
408,57,3.86,7,2,35,8,736
381,56,3.7,7,2,29,13,737
389,57,3.11,7,2,31,13,738
395,56,3.4,8,2,32,13,739
383,56,3.62,7,2,29,9,740
380,55,3.62,8,2,28,9,741
377,57,3.85,8,2,30,13,742
383,56,3.04,9,2,36,7,743
362,56,4.09,8,2,33,11,744
386,56,3.48,8,1,31,16,745
355,57,3.24,8,2,32,13,746
386,56,3.0,9,2,34,15,747
400,44,3.55,9,2,43,6,748
374,44,3.95,9,2,47,4,749
421,44,4.26,9,2,50,7,750
371,44,3.75,8,1,40,11,751
364,43,3.87,9,2,48,10,752
467,44,3.81,9,2,43,7,753
331,44,4.08,8,1,43,11,754
270,44,3.44,8,2,46,15,755
331,44,3.97,8,2,45,5,756
330,21,3.27,8,2,42,11,757
330,44,4.06,8,2,44,12,758
331,44,3.67,8,1,49,8,759
331,45,3.16,8,2,40,10,760
331,44,3.45,8,2,40,11,761
284,43,3.57,8,2,45,14,762
331,44,3.79,8,2,48,7,763
330,44,3.15,8,2,42,5,764
331,43,3.72,8,2,46,10,765
331,44,3.39,8,2,43,10,766
331,44,3.13,8,2,50,10,767
331,44,3.27,8,2,45,14,768
330,44,3.5,9,2,49,21,769
378,43,3.98,8,2,33,10,770
331,43,3.93,8,2,38,6,771
330,44,3.62,8,2,37,10,772
331,44,3.53,8,2,33,14,773
331,44,3.48,8,2,35,9,774
330,44,4.0,8,2,32,12,775
331,44,3.59,8,2,31,7,776
330,44,3.42,8,2,35,12,777
403,46,3.19,8,1,34,6,778
343,46,4.01,8,1,34,10,779
341,46,3.35,8,1,38,11,780
380,47,3.86,8,1,30,2,781
421,46,3.23,8,1,36,10,782
391,46,3.46,8,1,33,13,783
401,46,3.96,8,1,35,15,784
342,46,4.25,7,1,34,12,785
383,46,3.23,9,1,33,12,786
316,46,3.78,8,1,39,13,787
340,47,3.02,8,1,40,11,788
341,46,3.52,8,1,33,9,789
395,46,3.34,8,1,36,9,790
374,46,3.16,8,1,35,15,791
386,46,3.27,7,1,35,7,792
418,46,3.31,7,1,38,5,793
375,47,3.95,7,2,40,11,794
337,46,4.19,7,1,35,10,795
344,46,3.52,7,2,35,12,796
368,47,3.93,7,1,33,15,797
456,46,3.84,7,1,43,7,798
326,46,3.4,7,2,37,8,799
382,46,3.64,7,2,37,8,800
347,46,3.96,7,1,35,12,801
293,46,3.63,7,1,36,5,802
341,46,3.45,7,2,35,15,803
322,46,3.15,8,1,34,14,804
295,47,3.08,7,2,34,12,805
291,46,3.46,7,1,32,11,806
285,46,3.96,7,2,40,9,807
275,51,3.53,7,2,33,10,808
334,52,3.9,7,1,37,13,809
268,50,3.68,7,2,36,9,810
309,51,4.37,7,2,35,18,811
246,51,3.34,7,1,35,7,812
264,50,3.77,7,2,44,10,813
289,52,3.62,7,2,35,12,814
371,52,3.72,7,2,32,9,815
316,49,3.35,7,2,31,9,816
298,54,3.03,6,2,29,11,817
318,54,3.82,7,2,30,10,818
319,51,3.82,7,1,33,10,819
312,61,3.89,7,1,30,7,820
261,49,3.63,7,1,37,6,821
307,49,3.64,7,2,34,10,822
313,39,3.91,7,2,34,9,823
296,55,4.09,7,1,32,9,824
235,51,3.29,7,2,34,8,825
396,50,3.82,8,1,28,13,826
396,55,3.76,8,1,32,11,827
396,53,3.86,8,1,33,9,828
396,52,3.43,8,2,31,13,829
396,51,3.51,9,1,37,5,830
396,55,3.25,8,1,33,12,831
396,55,3.0,8,2,33,9,832
396,55,3.88,8,2,34,14,833
396,48,3.92,8,1,33,11,834
396,46,4.0,8,2,32,10,835
396,55,3.18,8,2,39,10,836
396,52,3.35,8,2,40,10,837
449,61,3.9,8,2,39,8,838
396,59,3.43,8,2,43,9,839
396,62,3.7,9,2,37,5,840
396,63,4.0,9,2,44,12,841
396,55,3.16,8,2,33,13,842
396,55,3.8,7,2,34,9,843
396,62,3.19,7,2,36,11,844
396,60,3.76,7,2,37,10,845
396,59,3.67,7,1,40,11,846
396,60,3.84,6,2,38,2,847
396,59,3.93,7,2,39,9,848
396,58,3.26,7,2,39,10,849
432,57,3.51,7,2,40,11,850
384,60,3.6,9,2,40,9,851
383,65,3.19,7,1,39,11,852
384,58,3.58,7,2,43,9,853
438,59,3.49,7,2,42,4,854
322,55,3.81,7,1,38,13,855
405,58,3.96,7,2,41,8,856
431,56,3.42,7,2,43,9,857
382,58,3.81,7,2,31,10,858
389,51,3.42,7,2,27,10,859
320,53,3.63,7,2,25,10,860
341,64,4.1,7,2,39,11,861
325,57,3.34,7,2,33,14,862
364,61,3.21,7,2,24,13,863
391,59,3.13,7,2,22,11,864
357,60,3.7,7,2,26,7,865
388,61,3.44,8,2,28,17,866
370,68,3.26,7,2,33,11,867
356,51,4.19,7,2,28,10,868
439,51,3.37,7,2,26,11,869
379,51,3.25,7,1,29,11,870
437,51,3.28,8,2,30,13,871
383,51,3.2,7,1,35,12,872
408,51,3.14,8,1,41,8,873
356,51,3.92,7,2,24,14,874
371,51,3.58,7,2,51,14,875
340,51,3.2,7,1,35,12,876
366,51,3.08,7,2,36,11,877
336,51,3.01,8,2,33,8,878
336,51,3.35,7,2,29,12,879
379,52,3.02,6,2,38,8,880
322,51,3.61,9,1,20,3,881
498,51,3.61,8,2,36,15,882
383,51,3.96,8,1,32,10,883
378,51,3.88,7,1,38,13,884
357,51,3.66,8,2,45,7,885
565,51,3.47,8,2,39,11,886
340,51,4.02,8,2,44,3,887
354,51,3.38,7,1,36,8,888
300,64,3.18,8,2,34,13,889
345,51,3.66,8,1,43,9,890
319,51,3.62,7,1,39,11,891
335,51,3.59,7,1,32,10,892
348,51,4.09,8,2,38,3,893
358,51,3.52,7,1,35,0,894
378,51,3.74,7,2,35,0,895
382,51,3.32,7,1,32,2,896
380,51,3.78,9,1,36,4,897
300,43,3.79,7,1,34,0,898
300,45,3.12,7,1,34,9,899
300,47,3.85,7,1,34,0,900
300,48,3.8,7,1,40,11,901
300,48,3.81,7,1,38,9,902
301,48,3.24,7,1,31,13,903
300,48,3.73,7,2,33,7,904
