query_id,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,late_ratio,ground_truth
2881a946-b9bf-4678-8f18-ab554aeed200,1,1,1,1,0,Carrying_light
1363e748-c783-4ab8-acbd-10847cd00fd4,0,0,0,1,0,throwing
7a353904-545b-4644-b534-a49a683c1bcf,1,1,1,1,0,pointing
dd615eca-dd61-402d-aacc-2f825832ddfa,1,1,1,1,100,loitering
a4d7f01b-2131-4d74-91f4-f7bdbb887f3d,1,1,1,1,0,fall
2df49fac-4759-4071-8a7d-e7fdb80b2940,1,1,1,1,0,crouching
4f8406c1-4707-49ac-bcbd-26258b94c74b,1,1,1,1,0,entering
a45aae2e-d689-422d-bd75-05d2d581cc1b,1,1,1,1,0,using_phone
e65e6bb3-c89f-46f9-81d0-4cf31f6984aa,1,1,1,1,0,walking
f93b2f5b-c12b-49a8-981e-cce40a224e5c,1,1,1,1,0,closing
e5760a60-8311-4174-aedf-9bde3ab5d504,1,1,1,1,0,sitting
00f40a55-15d2-4f61-ad2c-a4b5ece78b3d,1,1,1,1,0,pointing
a77e2606-b093-4093-9232-02ae2ab49497,1,1,1,1,0,opening
d1a4e4cc-c2dc-4114-b020-cf924ac0b3f5,1,1,1,1,0,entering
83df6283-d194-4feb-9c0e-579f79c0d7b6,0,0,1,1,0,pointing
b41054f6-f304-421f-83d3-61af93b23483,1,1,1,1,0,jumping
b4c1d38a-226b-4ee9-b3e8-33a118ce01b5,1,1,1,1,0,pocket_out
74f08f66-595f-4976-bf11-2b5bdba66173,1,1,1,1,0,carrying_light
9f402a98-3170-4008-ba70-d4bcc402de6b,0,0,1,1,100,running
c40f1626-c425-4042-975f-ca95060621a2,1,1,1,1,0,walking
3edef880-06c0-46ef-b439-289c341fade3,1,1,1,1,0,crouching
8848fa9c-2673-48b9-aa13-bcd6f7935be2,1,1,1,1,0,pocket_out
953efff3-6c0c-42c3-acc2-f573f6a19266,1,1,1,1,0,sitting_down
65d7af17-1fdb-4eb6-9e2e-b9f3381c741a,1,1,1,1,0,running
fd67ba8f-694f-4a43-ab7c-3ba522439af3,1,1,1,1,0,standing_up
a52d0ce7-f651-406f-964a-7d945d360a3a,1,1,1,1,0,running
151effb9-6ff9-4d96-877e-a78ba74f5e3a,0,0,0,1,0,kicking
3f7f77bd-7178-4562-8de3-6dca2cb272b3,0,0,1,1,100,picking_up
2359bc2b-0e56-4c0d-9ea0-9217d860127a,1,1,1,1,0,kicking
efe43c3c-243b-409c-9ede-150f8fe43a31,0,0,0,1,0,loitering
07b3d925-1bf2-4d0d-a126-ea88772302b9,1,1,1,1,0,pocket_out
0d51ad3f-ca03-470a-8e5d-c473724d3a57,1,1,1,1,0,crouching
13efec0c-6b72-4e3b-9458-b6df96bb578a,0,1,1,1,0,sitting
65639546-c702-4734-a21e-63a280e6920b,1,1,1,1,0,crouching
6901bb71-28b6-44e2-9e7f-2bf29cdaa85b,1,1,1,1,0,setting_down
318fa4c7-4709-42d3-b213-be12c801b70a,0,0,1,1,100,carrying
70469f88-8550-470b-8017-8296a6eaebed,1,1,1,1,0,walking
2682a503-2509-4ed3-8eea-429935a7624a,1,1,1,1,0,using_phone
a6fec8f1-389d-409e-9f4b-b6564c162054,1,1,1,1,0,picking_up
ea154387-a8c6-4382-896c-0a34649e9fa7,1,1,1,1,0,transferring_object
fc84ded4-4e1f-45a7-a290-4e26a7aa1cba,1,1,1,1,0,jumping
8e3bed15-ceec-495b-bd18-47a83fa8cf5f,1,1,1,1,0,talking
7a9146a2-1aff-46ce-9d4c-0c12d31d693d,1,1,1,1,0,running
caf0ed96-04c8-4ee2-aba8-59fb75419d0b,1,1,1,1,0,setting_down
