query_id,time_constraint_ms,network_latency_ms,data_prep_time_ms,remaining_time_ms,n_phases,orchestration_overhead_ms,effective_time_ms,is_late,accuracy
424009f7-1569-41e2-bcd9-f2791298c941,2336.721404234788,3.757430682639,72.237595019971,2261.726378532179,2,11.272292047917,2250.454086484262,0,0.757102168106
e0aee505-2923-4755-a63e-3199187e4fd5,5220.448181092772,0.526411188374,101.258745418710,5119.189435674061,2,1.579233565121,5117.610202108940,0,0.765729452200
15e41714-a30b-4a31-9e55-236d16a9f5cd,7792.514797860638,2.466240387948,97.872680257774,7693.175877214917,2,7.398721163843,7685.777156051075,0,0.778037761475
d88bc11b-6901-4cf9-a5ae-20a86ef67286,9750.103947038333,1.466630948600,738.058763272920,9011.578552816813,2,4.399892845801,9007.178659971012,0,0.775418751042
40103885-b246-422f-ab37-bd86539b32bd,2473.313470437581,0.680479579943,46.989978601225,2426.323491836356,2,2.041438739830,2424.282053096526,0,0.744188014924
793b4bb5-e6c3-4daa-bbe9-30b77cd8115b,1915.849159721796,1.746932653774,49.277516932500,1865.824710135523,2,5.240797961321,1860.583912174201,0,0.730704924306
8b512be8-07aa-4285-b48e-89a1cab4ca26,2138.670403552188,1.257483294076,36.000000000000,2102.412920258112,2,3.772449882229,2098.640470375882,0,0.742638047093
bc0d4d2a-80fc-4f4b-a606-739042af8112,8770.453773700403,1.010116947430,173.553124491422,8596.890532261550,2,3.030350842291,8593.860181419259,0,0.755442232578
f52603c0-ecfb-4bff-9419-ee947b466df4,8368.760721716873,0.553499637731,123.495706986585,8245.265014730288,2,1.660498913193,8243.604515817096,0,0.760978282335
423b7085-3092-47fb-93c3-75f400a3e3a4,9514.790335304304,0.618480304839,96.514421181997,9418.275914122307,2,1.855440914516,9416.420473207791,0,0.765219361029
6d647fde-1d5e-456a-adf6-49fbc44ecbd4,4070.665986841203,3.356681289698,105.451467971324,3962.857837580182,2,10.070043869093,3952.787793711089,0,0.775258847072
33c10279-6b29-4e85-88bb-b8b4a41db252,3899.657220167415,1.291504635846,276.051426358274,3623.314289173295,2,3.874513907538,3619.439775265757,0,0.763290951179
c9dc4d24-1e73-45d4-8139-f418f9cc71ac,1427.677778990529,1.724467403843,190.130522694342,1236.822788892344,2,5.173402211528,1231.649386680817,0,0.732570314985
26255bd7-0ebf-4ef9-b14a-b979eeb9b3a3,6151.131872258380,0.688346481543,49.688507443954,6101.443364814426,2,2.065039444629,6099.378325369797,0,0.779172006372
6ae48ebc-3e0d-4887-96bd-fe74655f70e0,1086.027928760111,0.250000000000,46.219504011393,1039.808424748718,2,0.750000000000,1039.058424748718,0,0.695900831004
42e671fa-284a-41b7-ae25-c8cba75459f0,9480.220772437131,1.800417641136,173.119796130045,9306.300558665949,2,5.401252923409,9300.899305742540,0,0.772940744820
8238fb6e-efbf-47fc-9950-591c240c4320,2356.786292811815,0.714571944133,77.539969880978,2279.246322930837,2,2.143715832398,2277.102607098439,0,0.731820002240
7d0a8369-760b-4ba5-9459-0c9d60060cf1,4981.597246309459,0.790788962227,152.174055465844,4829.423190843614,2,2.372366886682,4827.050823956933,0,0.777501529428
f14fe2fa-e099-4821-a500-42c2ec5059a8,8458.571275739545,1.218485728805,63.420859603140,8394.931930407600,2,3.655457186415,8391.276473221185,1,0.685187829397
0f418144-8d74-4c80-8db0-027d5b7aff55,5547.657434082314,1.599060369602,234.437106481606,5312.621267231106,2,4.797181108807,5307.824086122299,0,0.780469582025
42173550-e7c5-42fb-979f-d0445c90b128,7921.067702662510,1.209697885486,911.900000000000,7008.958004777023,2,3.629093656459,7005.328911120564,1,0.704781002590
aa450090-1450-4a3a-a6ab-6ab11801e3f4,2740.821657116600,1.296012186991,213.589477915993,2526.936167013617,2,3.888036560972,2523.048130452645,0,0.762198296139
488cbdfa-3450-4983-905f-b11c249a7586,7437.780104728957,1.362154808236,400.151134063703,7037.266815857019,2,4.086464424707,7033.180351432312,0,0.781597627761
127a5bcd-0ba9-42f5-8f05-84a57bc050d0,5780.122513017272,0.787857850967,668.132575375379,5111.989937641893,2,2.363573552902,5109.626364088990,1,0.713798494131
5d96bfe5-2672-45e0-b52e-8e3e3dad20f4,8794.627920324961,0.502990745537,32.608179060307,8762.019741264654,2,1.508972236611,8760.510769028044,0,0.766506543352
78f5661e-1687-4e75-83ed-4f50bf5f3674,1514.354272048854,0.745445194059,19.977664186848,1494.376607862007,2,2.236335582176,1492.140272279830,0,0.751458808998
bfe9380d-4b97-4bdd-a36a-ee0d0b797626,8256.339686754502,2.165097590731,119.311014209029,8135.863574954742,2,6.495292772192,8129.368282182550,0,0.767193620553
d5d4d1ba-1b2a-4022-bed5-b5885853d138,4599.091684464767,1.664332857163,86.602754558201,4511.824597049404,2,4.992998571489,4506.831598477915,0,0.773216578249
1db4ea90-79d5-43a9-9b99-fecae5bee23d,1275.797643460668,0.342682674182,126.757290233914,1149.040353226754,2,1.028048022545,1148.012305204209,1,0.676294474235
b6cf171c-3112-495d-9db0-24d2a37c9807,4773.728717251843,0.700954299645,671.232350236075,4102.496367015769,2,2.102862898935,4100.393504116833,0,0.755795143784
bc5d55bd-b535-46e8-ba76-f8155858804e,7259.142494867832,0.250000000000,287.914415704652,6971.228079163180,2,0.750000000000,6970.478079163180,0,0.776663164121
f35fd56f-64f1-47fa-86c8-b10475a8ac96,3157.046300428807,1.171556521254,45.312648018582,3111.562095888971,2,3.514669563762,3108.047426325209,0,0.780056938048
621d7e90-b461-4176-82fe-f457df10893f,9794.624630826260,3.637354246767,105.309227024643,9686.678049554850,2,10.912062740300,9675.765986814551,0,0.746133233471
1dcff171-bf7c-4e38-b62c-16970c76e3d8,2282.980738128575,0.536983308994,197.128496846183,2085.852241282393,2,1.610949926982,2084.241291355411,0,0.743579652885
87379419-326d-4ee5-ab9a-fcd3b50c9119,5630.756795612541,0.704513914243,435.708730257188,5195.048065355353,2,2.113541742730,5192.934523612623,0,0.764435478620
1eaffe15-1266-4e88-a81f-c52af9f79317,5028.168015039760,1.867313200966,85.414601391871,4941.886100446923,2,5.601939602899,4936.284160844023,0,0.751617041563
8bee3bcb-c62a-4ee9-829f-a07694ce0c66,7427.934768560452,0.250000000000,151.486546271165,7276.448222289287,2,0.750000000000,7275.698222289287,0,0.767933375502
a5309bad-67d6-4f03-a656-7ec698a10ff6,4538.064216986434,0.794142951017,318.689157317026,4219.375059669408,2,2.382428853050,4216.992630816358,0,0.754626836236
8e6522e2-6159-447a-b62f-49d9f760dd5f,5027.240281041531,1.208125034715,1073.739502703982,3953.292653302835,2,3.624375104144,3949.668278198691,0,0.767132376549
3c9da20d-0e22-4ba4-8747-69c4b34fcbac,2920.504650402875,0.942918019735,225.216673676784,2695.287976726092,2,2.828754059204,2692.459222666888,0,0.761261844301
e5f4ad7a-6084-4068-9b39-c7f5caabd187,7014.677836486786,0.913404919025,126.376704647367,6888.301131839419,2,2.740214757074,6885.560917082345,0,0.746873447396
aa93f210-f126-43f4-b991-8023eed7e3df,9499.908234496470,1.652386089074,73.232585730413,9426.023262676983,2,4.957158267222,9421.066104409761,0,0.783633951842
