core1,core2,core3,core4,mem,gpu,norm_ex_time
31.09,8.74,12.06,1.48,46.19,3.09,492
32.11,8.81,10.82,1.56,52.15,3.04,493
31.66,8.36,10.81,1.46,54.5,3.09,494
33.27,8.63,11.15,1.59,50.39,3.11,495
30.27,8.57,10.52,1.5,51.99,2.51,496
32.69,8.4,11.06,1.62,52.02,2.73,497
32.97,8.28,11.49,1.27,50.81,3.04,498
30.65,8.47,10.88,1.62,51.58,2.79,499
31.01,8.55,7.43,1.7,52.41,2.88,500
30.11,8.65,7.43,1.08,49.13,3.03,501
32.4,8.55,7.51,1.39,52.65,3.03,502
32.37,8.52,7.61,1.41,51.51,3.18,503
32.04,8.66,7.8,1.41,46.12,2.86,504
31.98,8.89,7.48,1.54,52.45,2.86,505
28.74,8.45,7.62,1.5,47.96,2.78,506
32.41,8.68,7.6,1.33,43.66,2.98,507
31.49,9.94,7.81,1.37,47.68,2.92,508
31.42,9.02,7.55,1.45,55.17,2.93,509
30.27,8.4,7.63,1.6,45.55,2.78,510
30.17,8.66,7.49,1.06,46.22,3.08,511
30.33,8.54,7.4,1.46,47.94,2.89,512
30.17,8.65,7.64,1.23,44.42,2.73,513
30.2,8.65,7.42,1.16,43.46,2.72,514
30.03,8.19,7.69,1.4,50.91,2.83,515
30.62,8.51,7.87,1.16,47.38,2.98,516
30.15,8.67,7.55,1.47,46.0,3.22,517
30.45,8.5,7.51,1.11,46.15,2.78,518
30.09,8.77,7.62,1.17,49.43,2.93,519
30.05,8.89,7.52,1.42,46.62,3.2,520
30.54,8.34,7.58,1.24,41.18,3.47,521
30.54,8.67,7.61,1.82,54.52,3.1,522
30.48,11.28,7.77,1.53,51.64,3.36,523
28.65,8.53,7.62,1.74,53.7,3.14,524
30.38,8.77,7.63,1.18,53.7,3.26,525
36.16,8.62,9.38,0.95,53.7,3.38,526
30.5,8.64,8.4,1.49,53.7,3.24,527
35.37,8.32,9.08,1.36,53.7,3.35,528
30.06,8.5,9.3,1.23,53.7,2.9,529
30.23,8.46,9.81,1.44,53.7,3.43,530
30.79,8.43,8.07,1.46,53.7,3.42,531
29.94,8.39,8.94,1.24,53.7,3.19,532
30.34,8.37,2.6,1.23,53.7,3.17,533
30.45,8.4,8.04,1.34,53.7,3.32,534
30.89,8.67,8.78,1.33,53.7,3.05,535
30.93,8.49,9.21,1.41,53.7,2.97,536
30.01,8.37,9.29,1.52,53.7,3.24,537
31.77,8.64,8.13,1.37,53.7,3.28,538
32.08,8.43,9.21,1.7,53.7,3.35,539
32.1,8.13,13.33,1.38,53.7,3.57,540
31.61,8.55,7.77,1.48,53.7,3.24,541
31.92,8.57,8.71,2.14,53.7,3.29,542
32.6,8.56,11.33,1.07,53.7,3.03,543
31.77,8.72,9.05,1.42,53.7,3.12,544
31.11,8.1,8.13,1.29,53.7,2.76,545
31.41,8.46,9.81,1.49,53.57,2.92,546
35.25,8.58,8.36,1.28,52.06,2.9,547
34.16,8.73,7.98,1.16,49.2,2.76,548
31.82,8.69,9.09,1.42,51.48,2.85,549
32.29,8.49,9.22,0.81,51.78,3.13,550
31.67,8.41,8.67,1.1,50.09,2.8,551
31.77,8.45,8.76,0.91,52.85,2.75,552
31.99,7.03,10.4,1.22,49.82,2.93,553
31.44,8.7,14.22,1.37,51.94,2.49,554
31.52,8.4,9.88,1.38,51.37,3.02,555
32.15,8.47,11.36,1.36,52.56,2.69,556
31.79,8.68,10.1,1.12,54.79,2.6,557
31.66,8.62,10.28,1.07,50.35,2.67,558
31.56,8.1,10.12,1.37,50.1,2.89,559
31.08,8.38,9.53,1.23,54.42,2.88,560
31.78,8.26,9.35,1.22,48.24,2.86,561
31.65,8.61,11.96,1.19,51.68,2.5,562
31.79,8.39,11.76,1.1,51.45,2.93,563
31.79,8.57,10.44,1.29,53.81,2.82,564
31.81,8.62,9.73,1.09,52.48,2.89,565
27.73,8.5,11.01,1.39,48.73,2.78,566
27.42,8.61,8.18,1.27,49.0,2.82,567
30.39,8.55,8.94,1.36,47.04,2.67,568
35.01,8.68,9.22,1.15,51.05,3.01,569
27.88,7.4,9.27,1.16,53.85,2.65,570
32.08,7.3,10.79,1.01,53.52,3.31,571
28.28,7.47,13.22,1.03,49.36,2.75,572
30.69,7.29,9.52,1.31,34.98,2.85,573
22.78,7.41,8.96,0.93,56.46,3.4,574
31.02,7.6,8.18,1.26,53.62,2.79,575
29.93,7.7,10.6,1.24,50.09,2.51,576
33.89,7.73,11.04,1.22,48.87,2.82,577
36.22,7.52,7.96,1.09,54.79,3.16,578
28.58,7.45,6.52,1.23,48.79,2.77,579
30.55,7.44,8.31,1.2,50.26,2.71,580
29.36,7.45,8.37,1.29,53.24,2.4,581
30.15,7.61,8.44,1.18,54.37,2.64,582
32.63,7.28,7.93,1.16,49.37,2.96,583
28.51,7.24,7.68,0.94,48.53,2.85,584
23.54,7.45,8.19,1.38,58.01,2.78,585
25.25,7.58,8.18,0.92,38.06,2.7,586
34.63,7.4,8.21,1.02,48.11,2.47,587
28.01,7.41,7.52,1.16,54.02,2.9,588
32.68,7.52,8.56,1.25,48.48,2.59,589
24.04,7.48,8.2,1.24,43.2,2.93,590
29.99,7.75,8.6,1.23,47.53,2.85,591
27.91,7.6,7.34,1.19,48.58,2.57,592
28.73,7.56,7.75,1.1,46.18,2.76,593
26.61,7.29,7.83,1.23,45.59,2.93,594
26.64,7.35,8.36,1.29,46.78,3.42,595
25.23,7.21,8.26,1.26,42.55,3.3,596
26.58,7.18,8.27,1.17,48.98,2.6,597
21.26,7.49,8.06,1.08,43.76,3.02,598
27.0,7.46,7.89,1.25,47.92,3.14,599
27.35,7.53,8.65,1.31,43.51,3.43,600
27.62,7.5,7.76,1.46,43.68,3.11,601
27.22,7.24,8.77,1.04,44.45,3.24,602
28.19,7.52,8.45,1.36,46.25,2.93,603
26.92,7.27,10.4,1.33,44.95,3.26,604
26.55,7.41,9.7,1.48,48.41,3.23,605
29.81,7.22,11.32,0.0,46.3,3.44,606
25.91,7.23,9.63,1.38,46.8,3.27,607
26.87,7.5,9.38,1.32,45.46,3.13,608
27.68,7.46,10.08,1.25,48.4,3.18,609
23.85,7.74,11.18,1.39,47.24,3.33,610
25.39,7.5,10.35,1.22,46.53,3.41,611
28.01,7.43,9.3,1.09,36.01,3.08,612
28.76,7.1,10.3,1.21,36.18,3.2,613
29.09,7.78,9.03,0.98,35.05,3.24,614
28.03,8.04,10.82,1.33,36.29,3.23,615
30.42,8.43,10.75,1.37,34.45,3.35,616
27.16,7.14,10.4,1.27,36.06,3.25,617
27.32,8.09,8.82,0.95,36.09,3.47,618
26.33,7.32,10.62,1.6,33.04,3.21,619
28.87,7.93,10.77,1.3,35.9,3.25,620
27.6,8.69,10.24,1.14,45.4,2.98,621
36.69,6.63,9.3,1.02,35.58,2.97,622
37.34,7.27,10.38,1.42,35.72,4.42,623
36.8,8.37,10.32,1.35,34.67,3.23,624
36.74,7.32,10.5,1.03,32.28,3.01,625
36.64,8.15,9.06,1.3,35.5,3.05,626
36.61,8.01,10.48,1.18,37.89,3.0,627
36.42,7.96,9.85,1.26,34.45,3.01,628
36.85,8.38,9.81,1.2,36.57,3.1,629
37.44,7.88,9.4,1.39,31.95,3.07,630
36.53,7.72,8.66,1.66,36.45,3.0,631
36.39,8.56,10.85,1.31,37.63,3.16,632
36.38,7.7,10.54,1.78,35.25,3.2,633
37.06,7.63,10.96,1.57,52.96,2.75,634
36.62,7.63,9.8,1.43,50.11,3.07,635
37.17,7.0,12.15,1.61,52.48,2.8,636
37.44,7.91,11.14,1.23,53.95,2.82,637
36.1,7.85,11.23,1.34,53.68,2.7,638
36.29,7.42,9.45,1.38,52.2,2.84,639
36.91,8.0,10.21,1.68,54.82,2.86,640
36.39,7.34,10.13,1.52,53.49,2.94,641
37.12,8.46,9.54,1.39,45.77,2.92,642
36.55,7.31,10.06,1.4,53.94,2.88,643
36.62,6.81,11.12,1.72,50.61,2.94,644
35.53,8.11,10.3,1.16,53.71,3.26,645
35.98,6.68,11.01,1.37,55.28,3.55,646
36.5,9.12,9.74,0.79,48.25,3.28,647
36.6,7.7,10.44,1.3,54.87,3.7,648
36.97,7.4,10.97,1.47,45.78,3.55,649
34.22,8.87,11.33,1.41,55.4,3.39,650
34.46,8.75,11.37,1.01,54.04,3.61,651
34.49,8.55,11.14,1.39,54.9,3.4,652
34.62,8.6,10.79,1.3,45.85,4.42,653
34.33,8.07,10.87,0.89,50.42,3.53,654
34.42,8.61,10.26,0.98,49.94,3.82,655
34.29,8.51,8.61,1.36,46.35,2.04,656
34.45,8.92,9.2,1.01,46.03,3.49,657
34.25,8.18,8.75,0.78,46.7,3.42,658
34.67,8.31,10.82,1.22,44.89,3.6,659
34.08,8.44,9.56,0.93,47.7,3.36,660
34.28,8.21,9.67,1.22,45.98,3.66,661
34.27,8.14,10.26,1.27,46.21,3.49,662
34.09,8.31,10.3,1.21,44.85,3.22,663
34.37,8.6,10.18,1.07,44.94,3.69,664
34.58,8.33,12.56,1.13,46.54,3.34,665
34.23,7.95,10.08,1.18,46.03,3.45,666
34.18,8.39,9.6,1.49,45.46,3.88,667
34.26,8.27,8.67,1.3,46.26,3.53,668
34.7,8.19,10.18,1.17,46.47,3.5,669
34.38,8.47,9.74,1.51,45.25,2.87,670
34.19,8.22,10.15,1.45,45.4,3.02,671
34.4,8.36,9.42,1.34,45.61,3.56,672
34.64,8.44,8.41,1.34,45.5,3.26,673
34.37,7.99,9.54,1.24,45.7,3.38,674
34.28,8.53,10.27,1.42,46.02,3.09,675
34.19,8.27,10.46,1.59,46.5,3.4,676
34.21,8.49,8.73,1.73,45.79,3.41,677
35.02,8.69,9.05,1.6,38.99,3.35,678
35.02,8.69,3.16,1.33,39.09,3.04,679
35.02,8.34,11.88,1.26,39.32,3.29,680
35.02,8.43,8.63,1.35,38.98,3.37,681
35.02,8.6,8.19,1.54,39.7,3.2,682
35.02,7.91,8.46,1.57,39.36,3.15,683
35.02,8.2,8.16,1.5,39.53,3.15,684
35.02,8.89,8.37,1.41,39.04,2.77,685
35.02,8.4,8.78,1.19,39.19,3.43,686
35.02,8.65,8.99,1.3,39.26,3.4,687
35.02,8.43,8.3,1.56,39.47,3.4,688
35.02,8.39,8.27,1.27,39.36,3.35,689
35.02,8.47,8.36,1.56,39.54,3.29,690
34.82,8.31,8.25,1.58,39.31,2.97,691
35.02,7.04,8.48,1.57,39.64,3.35,692
35.02,8.25,8.66,1.34,39.52,3.02,693
35.02,8.33,8.35,1.54,39.62,3.42,694
35.02,8.36,9.03,1.57,39.5,3.07,695
35.02,8.45,8.07,1.4,39.36,3.07,696
35.02,8.29,8.42,1.65,38.88,2.3,697
35.02,8.36,8.2,1.41,38.98,2.83,698
35.02,7.96,8.02,1.66,40.37,2.97,699
35.02,7.93,8.11,1.47,38.08,3.02,700
35.02,8.24,8.25,1.39,38.41,2.91,701
35.02,8.24,8.45,1.75,38.41,2.94,702
35.02,8.07,8.3,1.46,38.52,3.22,703
35.02,7.96,8.27,1.39,38.42,2.99,704
35.02,8.18,8.21,1.6,38.48,3.45,705
29.04,8.13,8.3,1.5,38.43,2.9,706
28.94,8.58,8.87,1.66,38.37,3.14,707
29.58,8.2,9.95,1.29,38.35,2.72,708
29.59,7.86,11.17,1.71,38.15,3.05,709
30.43,7.92,10.1,1.22,38.35,2.96,710
28.96,8.34,10.78,1.39,38.26,3.03,711
