core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
24.88,11.68,7.27,1.74,1.01,1.99,1.32,1.36,51.52,2.58,495
25.25,11.55,7.65,1.6,0.73,1.43,1.21,1.6,49.68,2.65,496
25.1,11.77,6.92,1.87,0.84,1.92,0.98,1.39,52.27,2.82,497
25.31,11.93,7.33,1.8,0.66,1.59,1.19,1.43,49.82,2.82,498
25.09,12.21,7.54,1.68,0.88,1.43,1.2,1.46,51.84,2.82,499
25.36,11.65,7.71,1.68,1.51,2.06,1.21,1.18,51.89,2.73,500
25.47,12.21,7.54,1.67,1.07,1.19,1.1,1.04,53.67,3.09,501
25.11,11.67,7.8,1.47,1.04,1.33,2.33,1.41,51.03,2.43,502
25.3,11.29,7.84,1.54,1.43,1.97,1.2,1.4,50.95,2.9,503
25.0,11.28,8.08,1.85,1.12,2.07,0.84,1.07,49.97,3.3,504
25.19,7.26,7.99,1.6,1.2,0.66,1.23,2.49,51.65,3.59,505
25.22,10.61,7.93,1.95,1.1,1.66,0.78,1.33,51.18,3.33,506
25.36,11.26,7.82,1.87,1.13,1.7,1.27,1.49,49.83,2.19,507
25.2,9.69,7.79,1.69,1.35,1.4,0.95,1.42,49.54,2.82,508
25.1,11.03,7.61,1.71,1.49,1.77,1.14,1.52,49.67,3.31,509
25.05,11.35,7.78,1.85,1.38,1.11,1.38,1.11,49.86,3.48,510
25.35,10.46,10.01,1.65,1.53,1.63,1.15,1.29,49.63,3.66,511
25.54,9.92,7.6,1.66,1.11,2.0,1.21,1.05,49.47,3.24,512
24.66,12.05,7.59,1.51,1.24,2.05,1.05,1.63,49.72,3.4,513
25.29,8.95,7.84,1.69,1.27,2.3,1.22,1.19,49.35,3.33,514
25.12,10.09,7.68,1.75,1.22,2.11,1.25,0.91,49.46,3.38,515
25.4,10.77,7.73,2.02,1.09,2.1,1.28,1.17,49.64,3.46,516
25.25,9.52,7.79,1.65,1.21,2.04,1.08,1.43,49.94,3.15,517
25.19,10.52,7.77,1.8,1.09,2.06,1.12,1.15,49.48,3.47,518
25.21,9.36,7.68,1.63,1.02,2.08,0.82,1.52,49.49,3.7,519
30.64,11.31,9.06,1.78,0.85,2.03,1.3,1.13,49.74,3.12,520
29.76,12.62,8.46,1.57,1.15,2.41,1.39,1.1,49.5,3.46,521
31.19,9.51,10.4,1.48,1.08,0.77,1.24,1.11,50.09,3.37,522
30.5,10.71,10.68,1.53,1.06,2.44,1.42,1.13,40.64,3.32,523
31.33,9.56,10.65,1.84,1.05,2.07,1.16,1.35,49.63,3.19,524
29.68,10.35,9.51,1.79,0.95,2.06,1.33,1.54,49.42,2.88,525
31.18,10.71,10.83,1.82,1.2,2.08,1.16,1.28,49.77,2.79,526
30.51,10.12,10.65,1.16,1.1,2.0,1.05,1.2,49.88,3.03,527
30.27,11.25,9.31,1.69,0.75,2.05,1.33,1.33,49.54,2.62,528
29.76,10.6,10.01,1.93,1.06,2.29,0.95,1.07,49.57,2.59,529
31.44,10.83,9.49,1.46,1.06,2.14,1.17,1.44,46.74,2.76,530
28.41,8.76,10.11,1.73,0.83,2.15,1.24,1.05,51.97,3.16,531
31.33,10.11,9.31,1.72,1.12,1.63,0.95,1.41,48.51,2.72,532
30.11,9.94,8.05,1.78,0.98,1.94,1.19,1.5,48.66,3.0,533
30.23,10.25,12.94,1.62,1.01,2.19,0.75,1.07,48.31,2.82,534
31.94,10.23,9.45,2.22,0.0,2.11,0.86,1.1,46.34,2.87,535
30.76,9.47,10.6,2.08,0.93,2.2,0.98,1.33,50.93,2.66,536
31.28,10.39,9.84,2.13,0.95,2.15,0.64,1.37,48.27,2.55,537
30.81,9.82,9.6,2.11,0.95,2.31,0.75,1.32,52.55,2.59,538
31.24,10.09,11.03,1.93,1.35,2.16,0.5,1.2,34.84,2.9,539
30.51,10.02,8.5,2.57,0.8,1.95,0.74,1.39,48.76,2.95,540
30.86,9.87,8.72,2.06,1.19,2.35,0.84,1.3,49.13,2.97,541
31.53,9.86,8.53,2.52,0.9,2.01,0.88,1.13,55.08,2.79,542
30.96,10.29,9.27,2.25,0.76,2.1,0.9,1.15,52.81,3.03,543
31.07,10.3,9.38,2.03,1.12,1.58,0.76,1.01,49.87,2.84,544
29.73,10.23,8.49,2.22,1.02,2.2,0.98,1.37,47.13,2.53,545
29.35,9.7,8.38,2.23,1.03,2.02,0.9,1.38,45.75,3.27,546
29.75,9.81,8.1,2.04,0.82,2.33,0.66,1.23,51.35,3.39,547
29.69,10.1,8.68,1.85,0.94,2.16,0.54,1.57,55.27,3.09,548
29.72,10.02,8.85,1.89,0.78,2.26,1.08,1.37,52.45,3.24,549
29.54,10.23,8.59,2.23,0.86,2.16,0.91,1.06,55.42,3.31,550
27.54,10.18,8.5,1.27,1.1,2.36,0.75,1.19,46.04,2.93,551
29.3,9.85,8.89,2.23,0.75,2.1,0.81,1.42,50.85,3.46,552
29.36,10.22,9.21,1.79,0.83,2.36,0.98,1.3,50.73,3.27,553
29.66,10.31,8.3,2.28,0.89,2.33,1.63,1.27,50.79,3.58,554
29.66,10.05,8.81,2.06,0.77,2.21,0.97,1.11,51.27,3.29,555
29.72,10.14,8.72,1.89,0.86,2.3,0.78,1.51,50.96,3.37,556
29.61,9.88,8.42,2.06,1.02,2.27,0.77,1.27,51.3,3.3,557
29.52,10.21,8.51,1.79,0.8,2.08,0.79,1.13,50.97,3.44,558
29.73,10.51,8.67,1.89,0.88,2.03,0.76,1.24,50.94,3.13,559
29.62,7.37,9.08,2.33,1.1,1.98,0.74,1.33,50.98,3.13,560
29.58,10.35,8.9,1.57,0.84,2.22,1.06,1.28,50.78,3.2,561
29.73,7.68,8.28,1.73,1.18,2.04,0.76,1.13,50.93,3.05,562
29.64,8.56,8.71,1.93,1.02,1.98,0.94,1.65,50.7,3.08,563
29.64,7.82,8.78,2.26,1.08,2.09,1.0,1.53,51.38,3.53,564
29.39,8.37,8.24,1.82,1.1,2.19,1.35,1.48,51.14,3.42,565
29.67,8.14,8.88,1.76,0.75,2.2,1.41,1.14,50.79,3.6,566
29.55,8.21,8.6,1.78,0.87,1.99,1.3,1.35,51.12,2.59,567
29.6,8.79,8.91,1.76,0.88,1.99,0.97,0.77,51.12,2.61,568
29.96,8.57,8.23,2.02,0.94,2.03,1.32,1.3,50.87,2.8,569
27.93,8.69,8.92,1.88,1.26,2.14,0.87,1.5,50.81,2.48,570
30.38,8.39,8.63,1.92,1.05,2.23,1.03,1.41,54.42,2.86,571
32.4,8.75,9.2,1.68,1.16,1.79,0.98,1.4,51.06,2.94,572
17.08,7.4,8.61,2.01,0.96,2.0,1.32,1.4,51.13,2.51,573
30.4,7.96,8.53,2.25,1.21,1.87,1.24,1.24,57.45,2.75,574
27.63,8.73,8.54,1.92,0.89,2.44,1.24,1.72,53.63,2.88,575
27.16,6.61,8.11,1.93,1.01,1.71,1.16,1.31,52.49,2.76,576
28.55,8.5,8.42,2.11,0.84,1.92,1.02,1.4,52.61,2.6,577
28.75,8.76,8.25,1.94,0.99,1.95,0.83,1.32,55.74,2.51,578
26.76,8.53,8.84,2.01,1.14,1.92,0.94,1.11,57.85,2.75,579
30.43,8.63,8.0,2.09,1.17,2.04,1.17,1.34,56.14,2.87,580
30.13,8.18,7.91,2.16,1.45,1.99,0.77,1.28,55.1,2.87,581
28.95,9.07,8.24,2.86,1.13,1.89,1.02,1.27,55.29,2.65,582
28.41,7.7,7.95,2.32,1.52,1.48,0.88,1.35,59.69,2.65,583
27.18,9.68,8.11,2.08,1.28,1.43,1.08,1.37,54.1,2.92,584
29.28,7.98,8.04,2.19,1.32,1.84,1.17,1.13,50.98,2.6,585
29.69,7.99,8.08,2.09,1.19,1.8,1.39,1.6,56.26,2.82,586
27.36,7.96,7.36,2.27,1.17,1.53,0.97,1.3,54.42,2.43,587
30.53,10.38,8.55,1.94,1.61,1.81,0.93,1.52,57.5,2.93,588
27.94,11.22,8.52,2.12,1.21,2.24,1.0,1.5,54.6,3.42,589
28.17,9.54,7.52,1.52,1.47,1.82,1.22,1.57,51.78,3.26,590
29.04,10.01,7.91,2.16,1.57,1.79,0.73,1.38,57.71,2.88,591
27.12,10.0,8.12,2.41,1.04,1.71,0.82,1.3,51.81,3.1,592
26.5,8.41,7.91,1.98,1.68,1.74,0.92,1.14,56.09,2.99,593
29.92,9.4,7.22,1.76,1.02,1.46,0.96,1.32,56.07,3.09,594
26.8,9.51,7.52,2.37,1.25,1.55,0.67,1.37,56.44,2.73,595
26.93,8.67,8.09,2.32,1.32,1.79,0.92,1.08,47.49,2.69,596
25.92,10.41,7.5,2.68,1.24,1.56,0.89,1.23,49.24,2.84,597
26.49,9.97,7.67,1.99,1.33,1.48,0.92,1.11,53.53,3.03,598
26.98,9.18,8.37,2.12,1.86,1.66,1.15,1.37,52.08,3.3,599
25.67,10.4,6.68,2.27,1.01,1.5,0.76,0.95,48.7,3.12,600
27.19,10.16,7.22,2.1,0.97,1.85,1.14,1.59,36.44,2.78,601
26.45,10.22,6.91,2.18,0.78,1.72,0.95,1.24,44.07,3.06,602
26.44,10.7,7.17,2.33,1.15,1.45,0.72,1.3,34.71,3.27,603
26.09,9.41,6.28,1.99,0.87,1.32,0.88,1.81,54.69,3.02,604
26.73,9.5,7.77,1.77,0.85,1.87,1.11,1.1,52.25,2.95,605
27.57,10.16,7.23,1.98,1.06,1.94,1.09,1.1,43.94,2.91,606
26.51,10.48,7.05,2.04,0.9,1.72,0.86,1.36,45.02,2.93,607
26.68,11.05,7.18,2.07,0.95,2.13,1.07,1.31,51.24,3.09,608
27.45,10.68,4.02,2.06,0.99,1.75,0.75,1.39,41.02,3.71,609
26.18,11.2,11.65,2.08,1.23,2.05,0.03,1.47,35.93,3.49,610
25.71,11.85,8.07,1.65,1.26,2.01,0.7,1.48,53.54,3.05,611
26.04,10.26,6.91,2.22,0.95,2.13,0.7,1.34,45.66,3.19,612
25.57,10.64,7.1,2.27,1.18,1.86,0.89,1.36,46.62,3.07,613
25.78,10.01,6.95,2.11,1.11,2.25,0.87,1.51,40.69,3.39,614
26.51,11.07,7.3,2.27,1.04,1.77,1.02,1.77,48.51,3.06,615
26.14,8.73,7.99,2.01,1.08,1.98,0.7,1.44,38.9,3.44,616
26.67,8.2,6.48,1.87,0.93,1.95,0.82,1.32,51.96,3.43,617
26.6,8.72,7.2,2.06,0.77,2.1,0.92,1.54,58.34,3.5,618
26.15,8.88,7.56,1.74,0.96,2.1,1.02,1.13,55.41,3.25,619
27.54,8.5,9.86,2.07,1.18,2.23,1.21,1.1,51.72,3.2,620
24.77,8.26,9.22,1.87,1.04,1.96,0.96,1.23,54.26,3.34,621
28.47,8.07,10.13,2.24,1.4,2.35,0.9,1.34,51.88,3.26,622
26.61,8.64,9.11,3.02,1.15,1.73,1.0,1.39,56.64,3.33,623
12.87,8.14,9.57,1.92,1.1,2.15,0.91,1.41,54.85,3.39,624
24.57,8.26,10.13,2.36,0.97,2.02,0.96,1.46,56.12,3.25,625
23.3,8.26,10.28,1.88,1.02,1.88,1.18,1.06,56.31,3.47,626
26.81,8.4,9.36,2.04,1.45,1.81,0.9,1.6,56.49,3.23,627
24.4,8.71,9.27,2.19,1.02,1.77,0.7,1.47,57.52,3.43,628
28.3,8.54,9.46,2.28,0.87,2.01,1.0,1.57,40.5,3.43,629
27.64,8.53,9.88,2.2,1.1,1.93,1.02,1.43,57.79,3.47,630
25.92,8.22,9.15,2.06,1.04,1.91,0.92,1.23,50.26,3.87,631
25.56,8.81,10.14,2.0,1.14,1.88,1.0,0.95,55.69,2.61,632
26.95,8.51,9.18,2.07,0.93,2.1,0.93,1.55,56.0,3.64,633
26.63,8.42,9.7,2.39,1.32,2.06,0.89,1.43,58.72,3.5,634
24.37,8.36,9.73,2.25,1.16,2.0,1.02,1.49,49.5,3.54,635
23.99,8.38,9.3,2.43,1.03,1.83,0.96,1.35,59.95,3.97,636
27.51,8.55,9.29,1.86,1.41,2.15,0.95,1.26,58.01,3.76,637
24.95,8.38,9.81,1.95,1.13,1.95,0.98,1.32,60.95,3.9,638
24.78,8.6,9.42,1.99,0.22,2.17,0.88,0.99,58.29,3.53,639
25.53,8.16,9.13,2.23,1.07,2.05,1.0,1.4,52.5,3.54,640
24.05,8.22,9.26,2.49,1.03,2.11,0.76,1.17,46.82,3.42,641
25.73,8.59,9.4,2.16,1.3,2.28,1.02,1.42,54.64,3.82,642
25.89,8.21,9.41,1.94,1.28,2.45,0.64,1.52,58.48,3.8,643
21.77,10.4,9.23,2.21,1.11,2.27,0.92,1.49,52.7,3.57,644
22.79,10.84,9.54,1.62,1.12,2.27,1.02,1.25,57.54,3.71,645
22.51,10.23,9.06,2.04,1.17,1.98,1.01,1.38,50.16,3.34,646
22.26,11.28,9.27,1.68,0.0,1.97,0.48,1.79,46.37,3.95,647
21.97,10.86,9.17,1.93,1.22,2.0,1.05,1.12,53.57,3.62,648
22.29,10.09,9.26,2.03,1.03,2.13,0.8,1.4,63.95,3.39,649
22.4,10.84,9.16,2.03,1.01,1.56,0.84,1.34,46.29,3.51,650
22.49,9.73,9.59,1.94,1.09,1.49,1.1,1.1,59.23,3.06,651
22.64,10.43,9.21,1.6,0.76,1.55,0.79,1.48,55.93,3.2,652
22.36,10.65,9.48,1.61,1.05,1.57,1.05,1.36,58.89,3.5,653
22.07,10.36,9.38,1.94,1.42,1.59,1.21,1.38,50.1,2.96,654
22.32,10.53,9.23,1.57,0.95,1.31,1.47,1.47,57.35,4.08,655
22.4,10.88,8.85,1.73,1.15,1.44,1.28,1.82,57.38,4.04,656
22.33,9.95,9.49,1.92,0.73,1.52,1.07,1.68,55.15,3.68,657
22.6,10.9,8.92,1.82,1.4,1.72,1.09,1.69,56.9,3.27,658
22.27,10.76,9.2,1.76,1.32,2.0,0.88,1.28,58.68,3.14,659
21.79,10.97,7.82,1.78,0.93,1.47,0.98,1.25,55.02,3.34,660
22.34,10.6,6.62,1.66,1.17,1.56,1.23,1.12,50.58,3.5,661
22.45,10.57,11.62,1.62,1.25,1.78,0.89,1.43,34.3,3.16,662
22.27,11.15,8.94,1.48,0.91,1.56,1.0,1.28,32.21,3.38,663
22.24,11.06,9.29,1.98,0.99,1.56,1.01,1.13,34.31,3.1,664
22.04,10.86,9.29,1.93,1.56,1.61,1.26,1.01,35.58,2.61,665
22.51,9.83,9.0,1.6,1.04,1.38,0.68,1.0,32.43,3.35,666
22.36,10.6,8.39,1.63,0.99,1.25,1.07,0.67,34.58,3.59,667
22.33,9.76,6.95,1.61,1.19,1.84,0.77,1.16,33.24,2.51,668
22.34,10.8,8.21,2.02,1.27,1.88,0.9,1.46,33.6,2.88,669
31.48,10.05,6.92,1.73,1.22,1.6,0.92,1.06,34.82,3.18,670
29.78,10.64,8.15,1.76,1.33,1.58,0.88,1.4,34.56,3.91,671
29.55,10.63,8.53,1.76,0.9,1.36,1.13,1.36,34.74,3.31,672
22.36,10.63,7.29,2.27,1.21,2.1,0.93,0.85,35.17,2.9,673
32.34,10.63,8.44,1.54,1.35,2.11,0.95,0.98,35.47,3.45,674
32.87,10.63,7.4,1.71,0.68,2.01,1.04,1.4,34.31,3.07,675
31.7,10.63,8.24,1.67,1.21,1.99,1.1,1.3,34.99,3.44,676
32.76,10.63,8.02,1.77,1.09,1.86,1.1,0.95,36.67,3.0,677
31.56,10.63,9.92,1.59,1.2,1.87,0.76,1.15,33.53,3.24,678
30.72,10.63,8.77,1.74,1.3,1.77,0.85,1.13,32.43,3.14,679
33.26,10.63,9.23,0.92,1.12,2.03,0.79,1.2,35.45,3.25,680
29.99,10.63,9.11,1.79,1.03,2.23,0.8,1.34,34.35,3.31,681
27.94,10.63,9.33,1.63,1.34,1.91,1.19,1.53,32.96,3.01,682
