core1,core2,core3,core4,mem,gpu,norm_ex_time
37.82,4.81,5.0,4.59,111.54,2.9,485
43.56,4.58,4.85,4.47,110.36,2.63,486
36.99,4.85,4.93,4.85,110.67,2.8,487
33.34,4.57,4.97,4.48,113.04,2.92,488
33.75,4.74,4.88,4.35,111.63,2.91,489
34.19,4.9,4.9,4.65,110.32,3.19,490
33.44,4.53,5.03,5.0,112.84,2.95,491
33.68,4.84,4.4,4.49,112.24,3.33,492
33.55,4.87,4.83,4.74,109.13,3.13,493
32.76,4.86,4.69,4.88,109.77,3.31,494
36.07,4.83,4.83,5.14,110.66,3.03,495
30.72,5.12,5.28,5.5,110.76,3.02,496
33.49,4.87,5.25,5.46,109.6,3.4,497
35.06,4.93,5.42,4.94,113.31,3.16,498
34.48,4.89,5.37,5.5,113.02,3.05,499
33.67,5.17,5.3,5.58,116.27,3.18,500
33.15,5.1,5.55,5.34,114.29,3.49,501
33.4,5.15,5.5,5.28,112.36,2.91,502
34.87,6.53,5.39,5.18,110.76,2.98,503
33.3,4.73,4.88,5.12,110.44,3.44,504
32.98,4.97,5.39,5.14,112.81,3.14,505
33.28,5.35,5.18,5.31,113.24,3.09,506
32.77,5.23,5.44,5.18,118.44,3.26,507
31.09,4.88,5.1,5.16,118.37,3.0,508
32.72,5.2,5.19,5.25,118.1,3.27,509
32.12,5.05,5.02,5.41,118.04,3.39,510
33.28,4.79,5.11,5.63,117.92,3.48,511
32.8,5.18,5.07,5.08,107.79,3.26,512
31.21,5.09,6.76,5.06,118.27,3.65,513
32.34,4.88,5.36,5.0,118.16,3.28,514
29.14,4.91,4.75,5.17,118.02,3.32,515
31.8,5.17,5.47,5.06,118.18,3.43,516
31.88,4.93,5.64,4.69,117.55,3.33,517
30.55,5.0,5.3,5.55,118.06,3.35,518
29.42,5.12,5.9,4.53,117.82,3.21,519
29.58,5.1,5.65,4.66,118.16,3.47,520
31.0,4.97,5.59,4.78,118.07,3.32,521
29.23,5.14,5.82,4.68,122.31,3.19,522
30.54,5.05,5.91,4.84,118.22,3.27,523
30.92,4.8,5.83,4.82,118.34,2.98,524
31.06,4.97,5.4,4.6,118.11,3.45,525
33.01,4.65,5.36,4.79,117.96,2.99,526
32.23,4.81,5.81,4.53,118.29,3.08,527
30.15,5.3,5.61,4.45,118.21,3.37,528
30.81,5.76,6.05,4.5,118.1,3.37,529
32.06,5.58,6.65,4.68,117.95,3.22,530
