core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
31.27,9.49,3.37,2.63,1.41,1.56,1.29,1.98,125.63,3.58,494
28.76,9.79,3.23,2.36,1.56,1.46,1.43,2.1,126.0,3.7,495
29.46,9.31,2.94,2.15,1.78,1.37,1.38,1.71,125.82,3.28,496
28.93,10.11,2.72,2.21,1.75,1.48,1.62,1.93,125.97,3.92,497
28.57,9.58,3.37,2.18,1.46,1.34,1.44,1.75,125.71,3.53,498
28.11,8.84,3.06,1.9,1.56,1.64,1.47,1.9,125.97,3.54,499
28.29,9.98,3.22,2.55,1.74,1.36,1.13,1.79,125.64,3.74,500
30.31,9.87,3.04,2.01,1.59,1.42,1.48,2.14,126.07,3.46,501
27.28,8.54,3.12,2.29,1.57,1.27,1.18,1.98,125.92,3.57,502
34.75,9.19,3.23,1.89,1.61,1.42,1.68,0.79,139.94,4.0,503
29.07,9.58,2.91,2.17,1.69,1.21,1.3,1.08,155.77,3.48,504
27.47,8.89,2.74,2.04,1.64,1.68,1.27,1.89,155.77,3.68,505
28.62,8.92,3.02,2.05,1.58,1.46,1.63,2.02,143.73,3.98,506
27.97,9.52,3.31,2.42,1.38,1.19,1.46,1.87,151.67,3.81,507
30.11,9.82,3.12,1.86,1.28,1.3,1.14,2.38,134.93,3.81,508
26.98,9.93,3.06,1.85,1.59,1.13,1.51,1.76,153.88,3.73,509
30.9,10.01,3.2,2.12,1.35,1.54,1.33,2.02,145.63,3.73,510
30.35,9.67,2.93,2.48,1.31,0.55,1.21,1.63,155.77,3.56,511
29.22,8.91,3.1,2.37,1.65,1.75,1.74,2.3,130.14,3.78,512
30.1,9.27,3.32,2.14,1.36,1.57,1.71,1.63,138.25,3.82,513
28.67,9.95,2.75,2.49,1.79,1.38,1.61,1.77,155.77,3.59,514
23.06,11.34,3.13,2.2,1.71,1.88,1.39,1.87,140.02,3.62,515
27.62,9.8,3.08,2.26,1.5,1.49,1.17,2.08,143.69,3.69,516
28.67,11.13,3.32,2.08,1.57,1.42,1.54,1.92,140.23,3.78,517
27.33,12.57,3.3,2.26,1.25,1.66,1.33,1.66,149.78,4.77,518
29.21,11.35,3.43,2.2,1.78,1.67,1.39,1.87,148.46,3.68,519
28.65,11.42,2.83,2.08,2.28,1.86,1.38,1.99,130.39,3.86,520
29.38,11.61,2.98,2.27,1.59,1.51,1.4,2.07,145.21,3.29,521
32.19,11.27,3.26,1.91,1.78,1.26,1.26,2.16,145.69,2.97,522
27.98,11.82,3.1,2.15,1.8,1.28,1.41,1.73,149.68,3.34,523
27.44,11.77,3.1,2.32,1.56,1.39,1.68,1.84,108.69,3.12,524
31.63,11.48,3.15,2.15,1.61,1.43,1.5,1.87,111.46,3.45,525
28.64,11.24,2.94,2.14,1.27,1.36,1.58,1.71,102.83,3.34,526
29.34,11.2,3.1,2.28,1.74,1.25,1.4,1.7,107.77,4.36,527
28.59,11.76,2.92,2.21,1.52,1.34,1.31,1.48,112.88,3.16,528
28.66,10.85,3.14,2.23,1.76,1.5,0.9,2.07,102.12,3.49,529
29.43,12.51,3.04,2.43,1.93,2.04,1.16,1.72,115.22,3.2,530
28.73,11.63,1.38,1.93,1.83,1.48,1.29,1.92,100.35,3.29,531
26.64,10.64,3.04,3.28,1.83,1.46,1.05,1.82,109.53,3.11,532
31.26,11.41,3.12,1.92,1.79,1.36,1.89,1.83,94.02,2.86,533
31.0,11.11,3.32,2.32,1.7,1.64,0.89,1.79,106.62,3.15,534
31.12,11.85,3.47,2.4,1.62,1.33,1.25,2.83,100.37,2.89,535
31.1,11.94,3.67,2.14,1.98,1.45,1.25,2.27,108.54,3.26,536
31.24,11.58,3.35,2.24,1.91,1.33,1.06,1.86,114.68,1.94,537
31.43,11.42,3.41,2.33,2.37,1.19,1.36,1.92,105.42,3.02,538
31.43,10.1,3.38,2.27,1.75,1.13,1.42,1.58,106.11,3.1,539
30.91,9.27,3.6,2.63,2.65,1.51,1.28,1.82,103.74,3.05,540
31.08,9.76,3.41,1.98,1.89,1.35,1.15,2.22,106.97,2.98,541
31.35,10.03,3.33,2.31,1.88,1.23,1.38,1.9,109.91,3.15,542
31.25,9.98,3.27,2.46,1.77,1.27,0.88,2.1,114.05,2.87,543
31.35,10.21,3.51,2.33,1.75,1.5,0.92,2.06,104.94,3.26,544
31.06,10.64,3.44,2.37,1.99,1.07,1.21,1.61,112.67,3.46,545
31.46,9.13,3.62,2.33,2.17,1.62,1.28,1.58,124.88,3.09,546
31.33,11.38,3.55,2.21,2.23,0.96,1.11,1.82,125.17,3.62,547
33.81,8.15,3.61,2.23,2.12,1.35,1.1,1.98,126.46,2.91,548
31.12,9.83,3.51,2.31,1.67,1.38,1.33,2.05,143.86,3.38,549
