core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
89.18,9.2,1.35,2.02,2.45,3.74,1.67,1.1,155.74,2.66,431
84.57,9.6,0.94,2.35,2.78,3.69,1.74,1.05,158.72,3.33,432
87.23,9.51,1.34,2.63,3.0,3.49,1.77,1.31,164.21,3.23,433
90.09,6.67,1.35,2.6,2.99,3.78,1.67,1.39,160.9,2.95,434
82.08,8.41,1.03,2.76,2.89,3.85,1.79,1.52,148.86,3.58,435
87.4,10.14,1.31,2.64,2.8,3.77,1.67,1.42,163.04,3.22,436
81.64,10.85,0.98,2.86,2.85,3.92,1.85,1.31,157.67,3.46,437
83.4,9.39,1.11,2.49,2.94,3.8,1.59,1.73,164.06,3.34,438
85.23,22.85,1.12,2.6,2.59,3.69,1.71,1.58,157.18,3.28,439
82.61,11.51,1.11,2.64,2.83,3.83,1.6,1.26,156.2,3.9,440
78.18,11.44,1.52,2.5,2.71,3.47,1.43,1.33,148.66,2.62,441
77.11,11.91,1.17,2.71,2.6,3.6,1.7,1.07,175.28,3.42,442
77.23,11.78,1.24,3.54,2.98,3.83,1.71,1.13,161.24,4.11,443
80.71,11.46,1.31,2.92,2.85,3.79,1.71,1.31,156.35,3.23,444
84.92,11.64,1.48,2.7,2.72,3.84,1.71,1.57,161.08,3.31,445
75.73,11.64,1.0,3.18,2.12,3.51,1.28,1.35,159.22,3.59,446
86.19,11.69,1.33,3.35,2.63,3.57,1.62,1.54,164.42,3.25,447
86.3,11.83,1.07,2.97,2.97,3.94,1.62,1.71,160.73,3.43,448
75.97,8.96,1.23,3.03,3.02,3.79,1.64,1.46,166.12,3.29,449
77.48,11.71,1.3,2.75,2.88,3.49,1.47,1.33,155.22,3.55,450
82.49,11.3,1.13,2.71,2.91,4.0,1.37,1.06,149.31,3.66,451
81.5,11.93,0.7,3.2,2.71,3.49,1.55,1.33,161.76,3.49,452
85.15,11.76,1.27,3.24,3.07,3.69,1.58,1.38,152.9,3.32,453
107.56,11.64,1.21,2.77,2.73,3.89,1.72,1.21,153.1,2.93,454
86.57,11.87,1.3,2.94,3.31,3.58,1.82,0.97,163.31,3.33,455
84.27,11.86,1.52,3.03,2.58,3.52,1.13,1.55,157.34,3.69,456
84.19,12.01,1.0,3.37,2.87,3.1,1.14,1.38,154.71,3.65,457
81.84,11.49,1.11,2.94,3.02,3.17,1.38,1.52,159.41,3.21,458
82.69,11.7,1.42,3.12,2.79,3.32,1.03,1.13,151.33,3.26,459
75.23,11.92,1.06,3.23,3.12,3.55,1.32,1.25,157.86,3.21,460
79.28,11.6,1.17,2.87,2.78,2.86,1.53,1.32,154.65,3.58,461
79.21,11.9,1.24,2.97,2.81,3.35,1.73,1.33,156.95,3.81,462
75.94,11.62,1.36,3.03,3.02,3.33,1.36,1.47,158.61,3.28,463
74.05,11.61,1.34,3.04,2.88,3.57,1.52,1.24,158.73,3.68,464
75.43,11.42,1.21,3.03,3.14,3.45,1.18,1.31,157.6,3.34,465
74.85,11.58,1.62,2.64,2.8,3.41,1.41,1.42,154.24,3.91,466
72.05,11.66,1.73,2.89,2.94,3.32,1.43,1.38,150.28,3.61,467
56.75,13.53,1.51,2.36,3.19,3.39,1.17,0.09,158.91,3.78,468
74.82,13.04,1.2,2.39,2.69,2.12,1.23,1.39,154.74,3.32,469
75.74,12.94,1.22,2.61,3.0,3.26,1.49,1.34,132.36,3.3,470
74.42,12.55,1.38,2.83,2.73,3.61,1.65,1.39,157.32,3.45,471
72.72,12.68,1.81,2.62,2.58,3.26,0.99,1.04,161.68,3.57,472
74.84,12.74,1.5,2.58,2.27,3.18,0.93,0.88,157.22,3.39,473
77.59,12.88,1.48,2.69,2.5,2.93,1.55,1.38,164.11,3.52,474
56.64,14.41,1.21,2.56,2.83,3.19,1.6,1.37,154.82,3.57,475
76.6,13.68,1.56,2.66,2.47,3.35,1.68,0.81,153.53,3.79,476
73.42,13.36,1.48,2.46,2.39,3.16,1.58,1.5,153.49,4.3,477
72.97,13.23,1.07,2.87,2.58,5.29,1.55,0.79,155.01,3.53,478
75.26,13.89,1.42,2.92,2.38,3.22,1.35,1.23,158.21,4.03,479
74.26,11.49,1.27,2.79,2.56,3.44,1.28,0.9,153.5,4.14,480
74.61,13.85,1.5,2.46,2.39,3.63,1.43,1.14,191.53,4.28,481
76.01,13.48,1.38,2.91,2.25,3.53,1.02,1.54,188.51,3.96,482
72.56,12.16,1.38,2.33,2.42,3.61,1.83,1.32,190.25,3.7,483
75.37,11.92,1.09,2.87,2.79,3.5,1.58,1.31,172.9,3.87,484
74.15,12.98,1.33,2.61,2.37,3.54,1.58,1.34,187.6,3.39,485
73.9,12.5,1.44,2.74,2.47,3.64,1.59,1.12,186.24,3.8,486
75.35,13.08,1.37,2.74,2.79,3.83,1.41,0.93,186.97,4.14,487
74.11,12.87,1.17,2.7,2.82,3.59,1.59,1.11,190.46,3.95,488
78.76,12.8,1.17,2.64,2.56,3.76,2.47,1.33,182.51,3.96,489
74.58,13.47,1.37,2.84,3.86,3.75,1.33,1.38,182.39,4.02,490
77.51,12.08,1.14,3.01,2.97,3.56,1.44,1.35,177.83,4.02,491
77.65,13.27,1.32,2.71,2.85,3.9,1.56,1.41,184.32,3.94,492
77.46,12.77,1.36,2.71,2.18,3.74,1.5,1.65,168.51,3.98,493
78.0,13.08,0.96,3.01,2.8,3.6,1.38,1.77,189.06,4.31,494
67.32,13.38,1.24,2.72,2.89,3.47,1.31,1.99,186.61,3.55,495
77.94,12.18,1.12,2.57,2.55,3.78,1.73,1.92,186.23,3.88,496
77.82,11.77,1.05,2.59,3.07,3.61,1.51,1.51,202.57,4.13,497
77.86,12.12,1.2,2.8,3.13,4.1,1.69,1.44,182.68,4.23,498
77.91,12.11,1.51,2.68,2.59,3.52,1.44,1.86,172.04,3.94,499
77.62,12.0,1.64,2.43,3.18,3.43,1.47,1.7,183.14,3.96,500
77.77,11.84,1.28,2.54,2.6,3.32,1.43,1.04,185.12,3.78,501
77.85,12.04,1.54,2.82,3.05,3.57,1.5,1.4,191.29,3.39,502
77.8,11.75,1.32,2.53,2.62,3.85,1.36,1.01,184.2,4.39,503
77.96,12.39,1.04,2.76,2.74,3.22,1.4,1.37,196.34,4.18,504
77.94,11.74,1.28,2.46,3.12,3.6,1.16,1.41,181.51,4.28,505
77.61,11.66,1.22,2.98,3.16,3.32,1.9,1.57,169.11,4.06,506
77.64,11.68,1.23,2.72,2.9,3.66,1.23,1.71,170.37,4.1,507
77.61,12.12,1.32,2.7,2.88,3.35,1.57,1.12,148.84,4.31,508
77.99,12.11,1.35,2.9,2.72,3.5,1.01,1.38,169.26,4.37,509
78.16,11.95,1.22,2.96,2.81,3.25,1.5,1.69,171.7,4.34,510
77.5,11.45,1.35,2.72,2.98,3.38,1.39,1.5,171.38,4.34,511
77.93,11.62,1.18,2.69,2.76,3.53,1.26,1.49,167.43,3.87,512
77.72,11.83,1.33,2.72,2.76,3.26,1.57,1.65,168.07,4.12,513
78.04,11.9,1.11,3.04,2.78,3.36,1.6,1.25,172.96,4.28,514
78.11,12.21,1.18,2.89,3.1,3.28,1.13,1.71,171.56,4.05,515
77.77,11.55,1.54,3.13,3.08,3.32,1.65,1.51,171.73,3.97,516
77.51,11.87,1.23,2.78,3.39,3.17,1.85,1.47,173.44,4.15,517
71.26,11.59,1.41,2.85,3.57,3.38,1.28,1.44,175.45,3.89,518
70.61,12.12,1.1,2.94,3.7,3.28,1.34,1.5,170.91,4.09,519
72.22,12.38,1.22,2.85,3.71,3.38,1.7,1.36,170.11,4.23,520
71.43,12.22,1.65,2.98,3.61,3.39,1.76,1.63,172.1,3.98,521
69.03,11.99,0.98,3.24,3.67,3.27,1.61,1.48,173.41,3.96,522
71.17,11.71,0.85,2.87,3.52,3.3,1.85,1.33,171.78,3.65,523
71.51,12.22,1.28,2.76,3.36,3.49,1.6,1.44,172.2,3.97,524
69.09,12.38,1.54,3.11,3.53,3.3,1.45,1.58,168.92,4.2,525
71.12,12.04,1.04,3.27,3.41,3.21,1.67,1.44,172.65,4.07,526
70.42,12.03,0.89,2.66,3.57,3.43,1.64,1.29,167.19,5.62,527
71.75,9.73,0.0,2.81,3.54,3.02,1.32,1.31,172.63,3.77,528
67.71,12.01,1.44,2.8,3.43,3.12,1.59,0.74,171.62,4.04,529
70.61,11.47,1.26,2.73,3.5,3.99,1.36,1.68,168.56,4.32,530
74.41,11.66,1.01,2.88,3.91,2.99,1.64,1.07,154.81,4.04,531
73.44,12.42,1.41,2.62,3.61,3.29,1.59,1.41,155.09,3.73,532
72.39,11.94,1.18,2.82,3.8,3.25,1.36,0.91,155.35,3.98,533
69.85,11.41,1.23,3.01,3.49,3.11,1.64,1.02,155.1,4.12,534
69.5,10.87,1.57,2.72,3.52,2.92,1.64,1.4,154.92,4.23,535
70.36,12.59,1.44,2.84,3.72,3.29,1.73,1.42,155.12,3.25,536
71.37,11.91,0.98,3.06,3.73,3.71,1.61,1.36,154.84,3.43,537
70.7,12.43,1.03,2.82,3.53,3.03,1.48,1.1,154.6,3.26,538
68.32,12.11,0.97,2.83,3.38,2.96,1.96,1.37,154.92,3.53,539
