core1,core2,core3,core4,mem,gpu,norm_ex_time
126.4,11.74,3.29,3.33,182.89,3.04,483
126.4,11.74,3.22,3.63,182.35,3.09,484
126.4,11.74,3.33,3.76,181.87,3.0,485
126.4,11.74,3.38,3.23,183.58,3.07,486
124.48,11.74,2.99,3.61,159.03,3.18,487
121.65,11.74,2.88,3.88,157.99,3.06,488
126.4,11.74,3.01,3.28,164.66,3.8,489
126.4,11.73,3.23,3.57,161.59,3.25,490
111.68,11.74,2.65,3.81,164.77,2.91,491
112.87,11.74,3.32,3.81,162.72,3.46,492
115.52,9.25,3.12,3.67,161.67,3.07,493
111.91,8.69,3.35,3.66,158.49,3.54,494
112.14,8.94,3.14,3.81,168.89,3.09,495
118.11,9.44,3.04,3.36,163.81,3.12,496
118.46,9.68,2.87,3.47,165.68,3.27,497
113.6,9.25,3.24,3.55,158.25,3.29,498
114.35,9.57,2.87,4.51,160.07,3.39,499
110.15,9.49,3.13,4.17,160.35,3.48,500
114.18,8.29,3.12,4.37,161.23,3.36,501
115.42,8.92,3.03,4.24,159.9,3.28,502
115.84,9.06,3.23,3.55,162.05,3.31,503
113.81,9.23,3.16,4.14,166.45,2.93,504
115.62,9.74,3.23,4.36,159.82,3.25,505
112.85,9.51,3.15,4.18,177.6,3.41,506
116.67,9.06,3.02,3.73,160.71,3.17,507
113.39,9.45,3.36,4.0,128.17,2.99,508
112.1,9.43,3.64,4.31,128.33,3.45,509
114.03,10.09,3.12,3.48,128.35,3.14,510
110.57,9.31,3.36,3.97,128.13,3.2,511
114.06,9.38,2.93,4.12,127.96,3.2,512
113.88,9.95,3.36,4.21,128.25,3.16,513
114.22,9.23,2.38,4.23,127.82,2.95,514
112.03,9.06,3.26,3.96,127.89,2.81,515
111.24,8.73,2.57,4.36,128.39,3.11,516
107.3,10.09,3.12,4.02,128.11,3.01,517
103.47,9.74,3.19,4.53,127.64,3.08,518
108.27,8.91,3.46,3.65,128.03,4.0,519
103.75,9.53,3.16,4.47,128.25,3.05,520
105.69,9.8,3.41,4.55,128.3,3.08,521
104.07,8.88,3.14,3.92,128.28,3.2,522
102.34,9.57,3.37,3.91,128.11,3.14,523
104.3,9.75,3.31,3.86,128.31,3.27,524
108.7,9.28,3.39,4.44,127.8,2.84,525
103.23,10.44,3.18,4.19,128.22,3.03,526
105.16,10.55,3.47,3.97,128.34,3.12,527
103.6,10.34,3.35,3.9,128.47,3.26,528
100.73,10.65,3.59,3.57,153.67,1.96,529
105.54,10.32,3.81,3.76,154.0,3.32,530
106.05,10.74,3.82,3.89,154.05,3.26,531
107.61,10.32,3.78,3.7,153.89,3.1,532
104.95,10.48,3.98,3.66,154.02,3.22,533
101.08,10.22,3.94,4.35,153.4,3.3,534
106.79,10.68,3.59,3.8,153.86,2.85,535
102.68,10.26,3.79,4.09,154.22,2.96,536
103.84,10.46,3.77,4.0,153.81,2.94,537
102.81,10.6,3.76,4.2,153.85,3.25,538
105.61,10.6,4.03,3.97,153.9,2.95,539
104.99,10.39,4.02,3.78,153.91,3.15,540
102.96,10.34,3.9,4.02,153.76,3.31,541
105.46,10.29,4.01,3.61,154.01,3.09,542
109.32,10.57,3.76,4.41,153.63,2.75,543
104.65,10.49,3.88,3.63,153.64,3.12,544
109.1,10.78,4.04,4.66,153.66,3.28,545
98.97,10.37,3.54,4.44,154.02,2.43,546
103.76,10.47,4.23,4.52,153.73,3.39,547
99.19,10.65,3.79,4.41,153.76,3.06,548
105.22,10.38,4.07,4.59,153.91,3.1,549
99.05,10.7,3.43,4.39,174.09,2.89,550
106.82,10.18,3.86,4.42,173.45,3.17,551
95.33,10.5,3.55,4.58,168.77,3.21,552
106.95,10.46,3.33,4.42,173.88,3.53,553
94.49,10.68,3.59,4.42,171.05,2.85,554
119.1,8.58,3.64,4.31,162.02,2.96,555
107.76,10.4,3.5,4.45,164.51,3.57,556
89.09,10.43,3.44,4.44,180.77,2.77,557
113.7,10.83,3.39,4.57,166.55,3.28,558
110.35,9.7,3.17,4.59,175.67,3.04,559
104.2,8.78,3.52,4.33,166.14,2.71,560
115.71,8.14,3.6,4.75,172.8,3.47,561
107.42,9.04,3.65,4.59,174.52,3.09,562
107.07,9.32,3.67,4.24,167.85,3.46,563
108.94,7.34,3.69,4.46,166.64,3.16,564
106.6,9.15,3.47,4.41,178.57,3.06,565
108.97,8.17,3.43,4.38,160.55,3.35,566
114.63,9.36,3.8,4.38,162.61,3.16,567
94.31,8.89,3.67,4.05,168.8,3.27,568
81.54,8.06,3.23,3.9,154.45,3.28,569
82.69,8.98,3.54,4.59,178.29,3.18,570
80.73,8.26,4.05,4.18,148.48,3.43,571
83.9,8.61,3.99,4.17,152.36,3.07,572
81.46,9.56,4.26,4.39,171.28,3.2,573
63.82,7.73,3.85,4.52,160.08,3.53,574
79.87,8.21,3.59,4.16,140.68,3.79,575
85.02,8.89,4.09,4.49,182.7,3.14,576
77.34,8.18,4.13,4.51,150.51,3.7,577
83.36,7.81,3.61,4.4,159.59,3.15,578
82.98,8.37,3.45,4.46,154.09,3.52,579
83.38,8.11,3.29,4.39,144.91,3.11,580
83.18,9.32,3.16,4.4,137.37,3.42,581
86.35,8.58,4.26,4.58,121.16,3.07,582
83.17,8.13,3.59,4.72,171.94,3.62,583
83.91,9.37,4.02,4.54,159.6,3.06,584
77.7,8.91,3.68,4.35,153.26,3.15,585
84.98,9.29,3.34,4.24,152.16,3.14,586
81.02,10.27,3.61,4.3,151.62,3.04,587
83.19,8.05,3.99,4.45,191.42,3.14,588
81.68,7.72,3.9,4.56,170.2,3.18,589
74.77,9.39,3.76,4.51,138.71,3.17,590
90.17,9.57,3.5,4.47,168.8,2.95,591
88.94,10.27,3.46,4.74,138.2,2.98,592
89.46,11.69,3.46,4.72,138.44,3.18,593
86.91,11.17,3.42,3.96,138.54,3.25,594
105.07,10.41,3.42,4.36,138.31,3.22,595
106.19,10.41,3.41,5.55,138.55,3.25,596
92.18,10.03,3.17,4.41,138.39,2.92,597
106.0,10.24,3.05,4.92,138.25,3.09,598
95.44,9.84,3.38,4.22,138.4,2.82,599
91.31,10.54,3.18,5.47,138.55,3.02,600
102.34,9.8,3.11,4.21,138.21,3.05,601
102.21,9.86,2.93,4.93,138.46,2.99,602
92.66,11.04,3.24,4.86,138.31,2.85,603
105.85,11.01,3.37,4.57,138.47,3.02,604
99.14,9.53,3.55,4.8,138.65,3.19,605
106.22,9.54,3.43,4.25,138.42,2.51,606
98.46,10.29,3.37,4.59,138.4,2.87,607
95.64,10.32,3.54,4.54,138.46,3.09,608
80.68,10.7,3.41,4.55,138.57,2.88,609
101.8,10.47,3.1,4.59,138.75,3.48,610
95.12,10.07,3.23,4.43,138.6,2.65,611
121.17,10.32,3.07,4.46,138.14,2.65,612
94.05,10.75,3.29,4.9,157.82,2.75,613
98.05,11.07,3.91,3.68,153.96,3.08,614
98.41,10.76,2.87,4.02,155.77,2.56,615
89.09,10.35,3.3,3.94,169.68,3.05,616
97.93,11.43,2.79,3.83,159.92,2.88,617
113.05,10.64,3.41,3.97,158.12,2.72,618
92.75,9.93,2.92,3.99,150.17,2.89,619
103.73,10.29,3.26,4.22,158.97,3.05,620
90.74,11.02,3.22,5.52,164.96,2.82,621
90.63,10.22,3.48,4.15,150.32,2.77,622
91.72,9.38,2.87,4.19,155.07,2.61,623
92.05,9.83,3.19,3.87,151.8,2.61,624
93.31,10.07,3.41,3.9,157.55,2.79,625
91.82,10.19,3.08,4.16,159.44,2.57,626
92.95,10.22,3.34,3.97,157.85,2.64,627
93.7,9.83,3.04,3.64,158.64,2.85,628
95.51,10.25,3.29,4.1,155.49,2.84,629
111.74,10.12,3.13,4.0,173.36,2.64,630
93.1,10.38,2.48,3.86,153.23,2.62,631
91.43,10.26,2.83,4.01,152.66,2.69,632
91.21,10.3,3.59,4.04,157.22,2.51,633
90.94,10.33,3.32,3.62,178.82,2.64,634
91.0,10.56,3.48,3.72,155.02,2.66,635
90.14,10.32,3.51,4.15,139.99,3.72,636
94.45,10.31,3.57,3.65,150.45,3.06,637
109.86,10.06,3.41,3.61,166.45,3.12,638
92.42,10.08,3.48,3.82,159.28,3.19,639
92.36,10.39,4.6,1.81,168.46,4.5,640
91.49,10.0,3.28,3.45,176.21,3.27,641
92.91,10.07,3.54,3.64,148.73,3.53,642
93.69,10.44,3.18,3.48,193.58,3.2,643
93.86,10.19,3.43,3.73,167.22,3.25,644
90.13,10.17,3.42,3.6,149.61,3.42,645
92.3,10.26,3.63,3.76,139.28,3.08,646
95.19,10.04,3.53,3.89,160.83,3.16,647
96.18,10.14,3.42,3.77,175.5,3.44,648
96.01,10.41,3.39,2.86,191.09,3.43,649
100.17,10.23,3.76,3.85,173.4,4.77,650
84.25,10.2,3.85,3.7,162.29,3.1,651
101.06,10.09,3.42,3.64,150.8,3.46,652
97.19,10.21,3.46,2.73,164.65,3.78,653
96.91,10.18,3.54,3.77,172.27,3.46,654
99.33,10.45,2.74,3.72,114.96,3.13,655
98.8,9.88,2.62,3.55,147.47,3.33,656
