core1,core2,core3,core4,mem,gpu,norm_ex_time
77.35,11.32,1.22,2.94,105.12,4.14,528
76.83,11.48,1.13,2.95,108.09,3.53,529
77.17,11.13,1.71,2.97,108.42,4.04,530
77.01,11.31,1.37,2.93,106.83,3.7,531
77.15,11.41,1.24,2.95,107.34,3.38,532
77.17,11.3,1.26,2.57,104.46,3.45,533
77.47,11.03,1.16,3.12,112.89,3.54,534
76.82,10.88,0.89,2.6,109.12,3.42,535
77.11,11.24,1.91,2.43,100.58,3.42,536
77.21,10.88,0.79,2.78,104.93,3.31,537
78.87,11.07,1.4,2.33,106.62,4.51,538
78.76,11.24,1.11,2.12,107.97,3.63,539
78.89,11.06,1.13,2.63,91.31,3.46,540
78.53,11.78,1.2,2.16,102.33,3.68,541
78.43,10.61,1.28,2.31,109.11,3.32,542
78.77,11.52,1.04,2.47,108.16,3.72,543
78.56,11.18,1.3,2.07,110.41,3.37,544
78.78,11.23,1.23,2.29,117.26,3.25,545
78.65,11.38,1.27,2.43,146.76,3.3,546
78.64,11.13,1.37,2.13,141.44,3.37,547
78.68,11.61,1.33,2.17,143.25,3.26,548
78.59,11.23,1.07,2.38,152.11,3.67,549
78.51,11.09,1.25,2.24,137.53,3.41,550
78.71,11.54,1.23,2.47,140.16,3.48,551
78.58,10.8,2.07,2.56,135.61,3.57,552
78.25,10.83,1.25,2.52,149.26,3.22,553
78.63,11.54,1.41,2.49,140.39,3.27,554
78.47,11.57,1.12,2.38,136.19,3.05,555
78.41,10.32,1.23,2.29,139.97,3.18,556
78.54,10.13,1.45,2.21,155.59,3.7,557
78.56,11.74,1.31,2.85,139.4,2.94,558
78.81,10.17,1.18,2.04,141.16,3.08,559
78.69,10.8,1.08,2.24,148.31,2.98,560
78.44,10.74,1.49,2.23,148.55,3.24,561
78.75,10.97,1.28,2.03,140.55,3.12,562
78.55,12.13,1.22,2.24,127.2,3.01,563
78.54,10.52,1.28,2.44,147.9,3.3,564
78.51,11.34,1.26,2.26,140.3,3.42,565
86.47,10.5,1.35,2.49,121.85,3.32,566
78.26,10.7,1.51,2.71,123.47,3.39,567
78.59,10.29,1.19,2.17,114.57,3.06,568
78.66,9.8,1.07,2.7,121.09,3.21,569
78.5,11.26,1.46,2.54,122.66,3.2,570
85.55,11.45,1.28,2.21,106.83,3.07,571
79.57,11.47,1.42,2.17,117.27,2.36,572
89.07,11.38,1.03,2.34,110.76,3.04,573
81.29,10.86,1.22,2.36,117.24,3.25,574
78.97,11.92,1.33,2.55,119.41,3.07,575
76.32,10.48,0.92,2.54,111.17,3.13,576
88.93,10.51,1.52,2.34,108.59,2.92,577
86.32,11.16,1.3,2.5,116.55,3.2,578
85.11,10.99,1.22,2.52,110.13,3.46,579
85.36,12.11,1.23,3.31,112.86,3.01,580
88.84,11.7,1.3,2.44,110.91,3.28,581
84.82,11.85,1.48,2.45,116.21,3.18,582
78.61,12.48,1.26,2.41,119.72,3.22,583
83.35,13.24,1.44,2.34,125.9,2.64,584
82.23,13.11,1.32,2.55,113.16,2.96,585
83.3,12.16,1.41,2.6,97.95,3.28,586
86.57,12.81,1.45,2.45,97.56,2.95,587
79.73,12.42,1.64,2.48,117.55,3.13,588
81.66,12.04,1.49,2.43,118.63,3.21,589
80.73,12.23,1.61,2.7,119.76,3.37,590
86.27,12.42,1.4,2.29,121.86,3.37,591
80.22,13.81,1.57,2.19,119.78,2.84,592
86.96,12.33,1.54,2.68,116.13,2.92,593
85.75,12.72,1.37,2.36,119.77,3.03,594
88.63,12.69,1.71,2.52,112.72,3.11,595
77.82,13.48,1.67,2.72,105.25,3.36,596
83.98,12.37,1.81,2.47,115.65,2.91,597
82.63,12.42,1.62,2.42,117.38,3.02,598
78.15,12.57,1.33,2.2,107.47,3.16,599
79.53,12.33,1.37,2.62,120.3,3.45,600
80.78,12.39,1.73,2.42,113.53,2.99,601
79.74,12.92,1.61,2.53,118.86,3.17,602
67.02,13.0,1.32,2.46,119.32,3.27,603
88.51,13.07,1.42,2.5,115.04,3.27,604
78.48,12.55,1.48,2.37,112.13,3.05,605
83.94,12.95,1.6,1.94,110.17,3.1,606
90.42,13.2,1.42,1.98,110.17,3.57,607
78.51,13.77,1.43,2.39,110.87,3.11,608
83.02,13.14,1.72,2.37,110.77,3.22,609
86.58,13.64,1.3,2.45,110.87,3.24,610
83.43,13.1,1.45,2.24,110.93,3.24,611
89.0,13.34,1.53,2.25,110.54,3.39,612
81.4,13.5,1.4,2.22,110.34,3.53,613
87.2,13.33,1.61,2.36,110.58,3.25,614
86.11,13.19,1.54,2.07,110.89,3.49,615
85.65,13.12,1.79,2.35,110.74,3.22,616
82.06,13.18,1.22,2.25,110.58,3.24,617
81.86,13.27,1.55,2.69,111.56,0.0,618
78.59,13.29,1.35,2.43,110.36,2.85,619
85.63,13.06,1.4,2.29,110.81,2.82,620
87.3,13.52,1.24,2.37,110.68,3.12,621
93.7,12.99,1.59,2.2,110.96,2.95,622
86.35,13.69,1.39,2.09,110.85,3.58,623
75.18,13.48,1.33,2.22,109.92,3.04,624
86.57,13.48,1.52,2.27,111.08,3.29,625
85.39,12.61,1.82,1.98,127.18,3.49,626
81.44,13.53,1.28,2.08,132.18,3.17,627
78.79,13.3,1.11,1.95,125.64,3.24,628
84.6,13.22,1.35,2.64,117.59,3.37,629
84.33,16.22,1.47,1.9,107.42,3.31,630
82.41,13.51,1.6,2.16,126.91,3.1,631
83.88,13.22,1.49,2.42,104.11,3.37,632
80.35,13.48,0.06,2.34,132.87,3.87,633
80.65,13.69,1.54,2.25,109.98,2.99,634
81.49,13.47,1.41,2.21,112.23,3.52,635
88.62,13.47,1.55,2.37,94.71,3.43,636
70.16,13.34,1.37,1.71,99.85,3.48,637
79.49,14.22,1.76,0.0,116.57,3.3,638
80.89,13.58,1.58,1.61,135.41,3.26,639
77.53,13.71,1.69,1.87,125.47,3.25,640
67.51,13.94,1.65,1.77,115.56,3.26,641
95.24,14.77,1.72,1.79,131.98,3.62,642
70.48,14.17,1.61,1.62,116.89,3.52,643
69.0,13.62,1.52,1.07,112.44,3.38,644
75.27,13.92,1.79,1.79,116.94,3.64,645
79.01,14.31,1.69,1.71,125.09,3.39,646
74.69,13.87,1.7,1.71,124.94,3.51,647
68.76,14.15,1.26,1.83,125.31,3.47,648
79.28,14.04,1.1,1.59,124.99,3.49,649
74.02,13.49,1.41,1.98,125.06,3.52,650
80.31,14.16,1.13,1.68,125.17,3.86,651
73.87,14.28,0.84,1.67,123.91,3.51,652
75.31,13.42,1.02,1.73,124.82,3.9,653
76.69,13.61,2.02,1.92,124.85,3.28,654
64.36,14.06,0.91,1.8,124.74,3.26,655
72.15,13.86,0.71,1.74,124.48,3.39,656
73.46,14.19,1.0,1.84,123.23,3.5,657
75.51,14.25,0.93,1.7,124.57,3.69,658
70.14,13.56,1.43,1.87,124.35,3.94,659
76.66,13.31,1.38,2.0,124.52,3.94,660
80.71,14.28,0.9,1.59,124.08,3.83,661
72.89,13.84,0.73,2.0,124.6,4.11,662
82.18,14.24,1.21,1.81,122.2,3.94,663
73.77,14.42,1.0,1.74,124.89,2.43,664
78.73,13.89,0.88,1.54,125.1,3.76,665
71.43,14.22,2.59,1.63,115.33,4.04,666
75.93,9.44,1.3,1.65,114.75,3.78,667
77.8,12.25,1.25,1.66,114.61,3.92,668
79.69,11.18,2.72,1.65,114.68,3.5,669
72.95,12.61,0.92,1.93,114.27,4.02,670
72.67,13.5,1.26,2.36,114.56,3.77,671
72.97,12.95,1.44,2.17,114.71,3.63,672
72.84,12.23,1.06,2.22,115.05,4.2,673
72.72,11.65,1.51,1.83,114.9,3.86,674
56.33,13.48,1.47,2.12,96.55,3.53,675
72.57,11.23,1.5,2.28,115.78,3.92,676
72.8,11.16,1.07,2.03,114.89,3.87,677
72.76,12.04,0.97,1.99,116.29,3.94,678
72.97,12.39,1.46,2.88,115.91,3.59,679
72.37,12.29,1.36,1.98,115.14,3.21,680
72.75,9.7,1.41,1.86,116.03,3.79,681
72.97,10.5,1.24,2.09,115.93,3.54,682
72.67,11.74,1.27,2.14,114.39,3.57,683
72.9,7.65,1.38,1.92,114.88,3.26,684
72.57,13.06,1.02,2.01,149.35,3.59,685
72.93,14.02,1.29,1.74,126.23,3.4,686
72.98,10.82,1.47,2.1,129.9,3.63,687
72.7,8.29,1.25,2.38,127.94,3.78,688
72.69,10.99,1.41,2.25,130.53,3.6,689
72.77,12.4,1.54,1.83,123.26,3.21,690
72.98,8.24,1.42,2.02,125.02,3.72,691
72.92,12.14,1.47,1.96,127.92,3.28,692
72.49,9.28,1.53,1.93,117.87,3.86,693
72.84,12.44,0.98,1.86,124.26,3.66,694
72.86,10.82,1.42,2.39,124.85,1.96,695
72.49,12.84,1.52,2.16,125.11,3.58,696
72.91,13.19,1.22,1.82,129.59,3.42,697
72.73,12.76,1.53,2.11,132.64,3.32,698
72.94,12.82,1.72,1.97,128.13,3.64,699
72.89,13.06,1.65,3.23,136.51,4.18,700
72.59,13.09,1.5,1.93,124.17,4.27,701
73.02,13.22,1.54,2.08,124.23,4.11,702
69.45,12.99,1.48,2.62,132.01,4.41,703
71.58,12.74,1.16,2.63,123.01,3.83,704
68.37,12.87,1.46,2.44,127.27,4.07,705
74.09,12.96,1.05,2.3,118.92,4.32,706
72.6,12.98,1.42,2.65,118.56,4.17,707
70.84,12.86,1.36,2.66,119.59,4.11,708
68.3,13.23,1.51,2.48,118.7,3.86,709
65.88,12.79,1.41,2.75,120.68,3.89,710
73.16,12.52,1.7,2.52,119.55,4.23,711
69.59,13.01,1.43,2.59,119.7,4.23,712
