core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
64.2,14.73,2.81,2.64,1.15,1.67,3.75,1.94,131.14,3.58,403
67.98,14.45,2.52,2.46,1.26,1.31,3.83,1.67,131.08,3.44,404
73.84,14.36,2.46,2.88,1.39,1.32,3.23,1.74,130.92,3.28,405
104.37,13.49,2.64,2.34,1.09,1.39,3.46,2.12,131.21,3.7,406
78.55,13.28,2.77,2.3,1.18,1.46,3.72,1.74,131.3,3.35,407
80.46,14.25,2.59,2.65,1.11,1.34,2.77,1.8,130.71,3.42,408
71.09,13.5,2.65,2.83,0.94,1.26,2.81,1.88,130.99,3.55,409
69.82,13.09,2.9,2.71,1.08,0.68,3.08,1.86,130.8,3.57,410
80.39,14.03,3.03,2.49,0.88,1.53,3.09,2.23,130.85,3.19,411
84.75,13.75,2.83,2.47,1.17,1.21,2.72,1.9,130.68,3.25,412
78.41,13.56,2.75,2.73,1.33,1.09,3.12,1.92,131.05,3.73,413
82.78,13.43,2.73,2.62,0.78,1.24,2.95,2.02,130.98,3.4,414
80.72,13.41,2.36,2.45,1.27,1.4,3.19,1.97,121.57,3.78,415
73.89,13.21,2.44,2.59,1.33,0.93,2.95,1.86,131.22,3.45,416
74.18,13.3,2.61,2.47,1.0,1.35,2.98,1.85,131.08,3.43,417
74.09,13.48,2.54,2.38,1.7,1.34,2.71,1.72,130.76,3.8,418
74.16,13.61,2.73,2.27,1.37,1.1,3.12,1.85,131.21,3.57,419
74.29,13.44,2.54,2.58,1.37,1.19,3.13,1.61,130.87,3.2,420
74.11,13.95,2.55,2.47,1.51,0.73,2.9,1.78,131.14,3.33,421
74.08,13.93,2.72,2.14,1.4,1.07,2.58,1.86,131.1,3.53,422
73.78,13.3,2.27,2.27,1.22,1.4,2.87,2.24,131.2,3.27,423
74.36,13.5,2.65,2.36,1.5,1.05,2.89,1.98,130.87,3.46,424
74.23,12.96,2.66,2.21,1.53,0.25,3.17,1.98,130.8,3.46,425
74.12,13.31,2.75,2.19,1.49,1.42,3.01,1.84,131.11,3.45,426
102.3,13.62,2.52,2.31,1.52,0.93,2.93,2.24,131.04,3.61,427
74.34,13.84,2.47,2.62,1.19,1.34,2.85,1.86,125.02,3.34,428
74.21,13.13,2.5,2.57,1.76,1.25,3.12,2.01,124.51,3.44,429
73.92,13.8,3.25,2.74,1.52,1.1,2.66,2.02,128.81,3.49,430
74.25,13.44,3.33,2.41,2.59,1.37,2.7,1.77,123.84,3.36,431
74.29,14.34,3.38,2.38,1.32,1.29,2.72,2.02,122.59,3.59,432
74.33,14.55,3.75,2.23,1.4,1.38,2.7,2.0,128.19,3.51,433
74.45,14.48,3.37,2.72,1.84,1.02,2.97,1.98,118.31,3.34,434
73.93,14.86,3.03,2.43,1.56,1.42,2.86,1.86,113.65,3.39,435
70.45,14.87,3.14,2.36,1.79,0.93,3.07,1.75,123.12,3.33,436
73.91,15.03,3.12,2.45,1.88,1.23,3.18,1.75,125.9,3.72,437
91.54,14.51,3.45,2.55,1.37,1.06,3.25,2.01,125.45,3.21,438
82.22,14.81,3.26,2.44,1.53,1.3,2.89,2.03,119.33,3.45,439
74.32,14.91,3.38,2.42,1.21,1.28,3.07,0.97,123.29,3.51,440
80.11,14.92,3.14,2.29,1.77,0.8,3.0,1.6,117.78,3.59,441
88.29,14.95,3.4,2.25,1.66,1.05,2.76,1.68,119.11,3.38,442
81.61,14.49,3.46,2.38,1.48,1.17,3.06,1.9,118.2,3.32,443
