core1,core2,core3,core4,mem,gpu,norm_ex_time
35.56,1.77,1.92,1.83,61.73,3.69,455
39.0,1.4,1.86,2.01,51.51,3.33,456
36.95,1.17,2.16,1.97,56.73,3.45,457
41.13,1.48,2.21,1.87,53.79,3.36,458
40.81,1.68,2.31,2.01,61.61,3.49,459
33.63,1.37,2.21,1.93,52.26,3.5,460
45.28,1.11,2.1,2.06,55.02,3.73,461
37.38,1.62,2.02,1.71,60.27,3.67,462
32.76,1.6,2.3,2.17,51.86,3.57,463
38.97,1.74,1.83,2.02,49.48,3.38,464
43.7,1.96,1.97,2.02,55.55,3.21,465
38.52,1.93,2.11,2.42,45.95,3.65,466
40.72,1.44,2.17,1.87,54.07,3.56,467
37.59,1.98,1.87,2.64,59.4,3.73,468
35.75,1.92,1.74,1.95,56.4,3.44,469
37.1,1.97,1.9,2.39,50.93,3.74,470
33.63,1.86,2.19,1.87,58.34,3.55,471
40.33,1.96,2.91,2.33,57.74,3.43,472
42.11,1.74,2.0,2.26,49.21,3.61,473
42.86,1.34,2.13,2.35,54.31,3.5,474
42.23,1.62,2.07,2.08,51.11,3.34,475
42.37,1.64,2.25,1.76,52.39,3.55,476
40.56,2.1,2.16,2.08,50.24,3.47,477
44.82,1.53,1.86,2.27,51.38,3.87,478
39.28,1.7,2.27,2.2,55.75,3.14,479
41.43,2.01,2.36,2.23,54.15,3.29,480
42.2,1.21,2.4,1.86,61.75,3.8,481
42.06,1.79,2.06,1.83,58.03,3.32,482
46.12,1.99,2.31,2.24,57.17,3.57,483
40.4,1.83,1.97,1.81,54.35,3.69,484
40.6,1.76,2.16,0.8,52.5,3.59,485
42.05,1.72,2.13,1.71,57.92,3.56,486
41.24,2.11,1.94,1.83,62.9,3.41,487
41.14,2.14,2.17,1.94,56.79,3.14,488
41.47,1.6,1.97,1.67,58.01,3.74,489
38.14,1.99,2.22,1.85,55.15,3.4,490
42.53,1.8,2.07,1.56,56.17,3.41,491
41.7,2.0,1.96,1.64,57.08,3.26,492
38.32,1.9,2.34,1.55,56.31,3.68,493
38.39,1.6,2.32,1.62,55.24,3.45,494
38.42,1.9,2.38,1.84,56.5,3.41,495
38.71,1.89,2.16,1.69,54.74,3.41,496
38.57,1.75,1.95,1.46,53.47,3.29,497
38.4,1.94,2.1,1.57,53.27,3.35,498
38.46,1.9,2.4,1.72,55.09,3.43,499
38.58,2.03,1.9,1.69,55.5,3.28,500
34.73,1.93,2.43,1.85,54.42,3.3,501
