class,accuracy,avg_confidence,min_confidence,avg_response_time,min_response_time,max_response_time,class_label
0,0.676056338,0.797883586,0.355609715,0.000574693,0.000446081,0.000828743,bicycle
1,0.595238095,0.739420944,0.364853114,0.000574434,0.000442266,0.000874996,bus
2,0.917450366,0.914635355,0.276784658,0.000579457,0.000250816,0.003005981,car
3,0.4375,0.698410234,0.310852855,0.000580609,0.000449181,0.001324177,motorcycle
6,0.932384342,0.939556607,0.296081901,0.000603242,0.000445127,0.006952047,pedestrian
7,0.295454545,0.789393857,0.337291569,0.000554535,0.000455141,0.00080204,rider
8,0.918727915,0.947391727,0.304756492,0.000574838,0.000437021,0.002082109,traffic light
9,0.935064935,0.946851743,0.32137695,0.000577467,0.000436306,0.001230717,traffic sign
12,0.579925651,0.756202864,0.328054458,0.000572595,0.000442028,0.002048016,truck
