cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
1244,52,3.05,11,1,9,10,518
1244,57,3.38,11,1,3,8,519
1244,52,3.73,12,1,18,13,520
1244,49,3.03,12,1,17,14,521
1244,44,3.51,13,2,14,13,522
1244,50,3.67,13,2,11,13,523
1243,44,3.15,13,2,20,12,524
1243,53,3.29,13,2,15,8,525
1243,43,4.16,12,2,22,13,526
948,44,3.67,13,2,14,11,527
948,47,3.37,14,2,23,7,528
961,51,3.43,12,2,17,10,529
965,55,3.78,13,2,24,12,530
953,49,3.76,13,2,21,7,531
973,52,3.52,13,2,12,8,532
966,68,3.16,13,2,16,8,533
977,56,3.64,13,2,13,10,534
952,55,3.83,13,2,17,10,535
956,48,3.39,12,2,16,8,536
953,57,3.92,12,2,14,7,537
968,50,3.72,12,2,14,9,538
959,56,3.81,13,2,10,9,539
957,45,3.6,13,2,26,8,540
952,69,3.41,12,3,21,11,541
978,53,3.7,12,2,23,3,542
1003,49,3.17,13,2,22,9,543
945,52,3.15,13,2,31,7,544
955,54,4.08,13,2,13,11,545
914,46,3.71,13,2,16,5,546
947,47,3.75,13,2,17,8,547
978,53,3.09,13,2,25,10,548
948,46,3.45,13,2,21,8,549
962,50,3.59,14,1,20,10,550
957,54,3.69,15,2,13,10,551
949,52,3.66,15,1,20,9,552
973,58,3.36,15,2,18,12,553
979,37,3.56,15,2,25,10,554
944,39,3.48,15,1,19,7,555
953,44,3.23,15,2,13,10,556
992,52,3.66,15,1,28,9,557
992,66,3.49,15,2,18,9,558
992,40,3.82,15,1,7,8,559
992,43,3.32,15,2,16,10,560
992,34,3.7,15,1,11,4,561
992,37,3.6,15,2,17,5,562
992,44,3.29,15,2,19,10,563
992,43,3.23,15,2,13,14,564
992,51,3.25,15,2,14,16,565
992,49,3.02,15,2,16,10,566
992,43,3.82,15,2,10,16,567
992,52,3.63,16,2,23,10,568
992,50,3.04,17,1,11,10,569
992,48,3.16,15,2,13,11,570
992,58,3.96,15,2,11,7,571
992,55,3.24,15,1,21,8,572
992,56,3.03,15,1,16,6,573
992,45,3.15,15,1,19,8,574
992,56,3.48,15,1,15,9,575
992,44,3.88,15,1,10,12,576
992,48,3.46,15,1,13,10,577
992,62,3.93,15,1,11,10,578
992,48,3.32,12,1,12,7,579
992,52,3.18,12,1,4,11,580
992,55,3.69,12,1,14,10,581
992,55,3.53,12,1,4,10,582
993,46,3.37,12,1,17,11,583
992,43,3.36,5,1,19,10,584
992,62,3.33,12,1,7,12,585
992,52,3.5,12,1,6,7,586
1008,58,3.15,11,1,17,4,587
1008,50,3.72,6,1,7,12,588
1008,59,3.34,12,1,16,7,589
1008,57,3.46,12,1,14,12,590
1009,44,3.96,11,1,16,7,591
1009,45,3.14,12,1,16,12,592
1008,58,3.0,12,1,15,9,593
1009,69,3.17,12,1,10,8,594
1009,49,3.29,12,1,17,5,595
1008,50,3.47,12,1,6,6,596
1009,41,3.2,11,2,12,10,597
1009,41,3.34,12,2,18,12,598
1008,43,3.12,12,0,18,10,599
1008,51,3.66,12,2,12,12,600
1008,36,3.58,12,2,14,0,601
1008,45,3.86,12,1,6,10,602
1008,38,3.52,12,1,24,10,603
1008,32,3.8,12,2,11,10,604
1008,34,3.15,12,1,12,11,605
1009,32,3.14,12,1,18,9,606
1008,37,3.08,12,2,16,10,607
1008,39,3.54,14,2,13,10,608
1008,29,3.92,13,2,11,4,609
1008,41,3.89,14,2,8,11,610
1009,53,3.62,14,2,33,7,611
737,42,4.31,14,2,10,11,612
1008,33,3.2,12,1,14,8,613
1009,71,3.98,14,2,16,6,614
1009,49,4.0,14,2,15,7,615
1008,37,3.48,14,1,6,9,616
944,40,3.83,14,1,9,8,617
944,37,3.68,13,2,18,8,618
944,41,3.7,14,1,17,11,619
944,44,3.99,14,1,13,1,620
944,53,4.16,14,2,17,4,621
944,44,3.63,14,2,27,8,622
944,42,3.67,14,1,14,5,623
945,41,3.27,14,2,17,10,624
944,53,3.28,14,2,18,8,625
944,43,3.94,14,2,20,8,626
944,41,3.6,14,2,17,6,627
809,49,3.59,13,2,26,10,628
944,39,3.94,14,2,14,7,629
944,54,3.53,14,0,31,9,630
945,48,3.35,14,2,17,10,631
944,45,3.03,14,2,24,7,632
944,45,3.88,14,2,20,10,633
944,43,3.42,14,2,19,7,634
944,40,3.11,14,2,18,7,635
944,39,3.86,14,2,15,9,636
944,36,3.4,14,2,20,10,637
944,45,4.04,14,1,15,5,638
944,52,3.13,14,1,22,4,639
944,32,3.13,14,2,18,6,640
944,35,3.31,14,2,17,11,641
944,40,3.24,14,2,11,9,642
944,47,3.32,14,2,18,6,643
944,46,3.08,14,2,16,10,644
944,56,3.73,14,2,24,5,645
944,48,3.98,14,2,16,8,646
996,43,3.74,14,1,16,11,647
996,44,3.47,14,2,20,13,648
996,55,3.33,14,2,14,1,649
996,29,3.06,14,2,17,13,650
996,42,3.43,14,1,15,10,651
996,40,3.84,14,1,9,13,652
996,19,3.13,14,1,16,12,653
943,37,3.12,14,1,18,6,654
996,43,3.67,14,1,19,6,655
996,48,4.34,14,0,14,9,656
996,43,3.86,14,1,12,11,657
996,39,3.64,14,1,16,9,658
997,41,4.08,14,1,17,14,659
996,45,3.92,14,2,13,11,660
996,33,3.22,14,1,13,4,661
996,44,3.28,14,1,16,8,662
996,33,3.68,14,1,11,15,663
996,34,3.8,14,1,14,11,664
996,35,3.81,14,1,12,13,665
996,41,3.97,11,1,15,8,666
996,51,3.83,11,1,14,9,667
996,40,3.14,11,1,15,2,668
996,41,3.18,11,1,8,9,669
996,49,3.82,11,2,18,8,670
996,46,3.63,10,2,20,11,671
996,58,3.14,11,1,28,10,672
997,58,3.7,11,1,17,12,673
996,51,3.85,11,1,15,6,674
996,70,3.83,10,1,15,14,675
996,43,3.42,11,1,14,9,676
1045,44,3.33,11,3,6,11,677
1051,54,3.54,11,1,19,12,678
989,40,3.32,11,1,14,11,679
958,50,3.01,11,1,19,8,680
1069,42,3.99,11,1,21,9,681
1061,37,3.3,11,1,22,5,682
944,55,3.92,11,1,19,7,683
936,45,3.19,11,1,15,7,684
999,44,3.36,11,1,17,8,685
970,54,3.65,11,2,28,14,686
1005,52,3.83,11,2,15,13,687
1055,42,3.71,11,1,22,11,688
955,45,3.39,11,1,18,10,689
938,40,4.05,11,1,22,11,690
943,37,3.12,11,1,12,12,691
941,45,3.13,10,2,22,12,692
987,48,4.11,11,1,15,6,693
979,50,3.64,11,1,28,6,694
922,48,3.52,13,1,18,10,695
681,42,3.94,11,1,18,11,696
935,44,3.29,11,2,20,9,697
1022,44,3.34,10,2,18,16,698
988,40,3.36,11,1,24,12,699
942,44,3.73,11,2,13,9,700
1052,47,3.38,11,2,17,4,701
1205,50,3.86,11,2,11,10,702
1028,39,3.03,11,2,17,7,703
1032,53,3.2,10,2,21,8,704
1006,49,3.44,11,2,7,11,705
969,52,3.5,11,2,12,10,706
1057,54,3.87,11,2,18,9,707
1042,48,3.15,11,1,18,8,708
1029,44,4.0,11,2,11,6,709
1028,48,3.39,11,2,20,9,710
1062,52,3.98,11,2,19,10,711
1031,48,3.92,10,2,22,9,712
1042,54,3.77,9,1,22,11,713
1029,42,3.0,11,1,14,7,714
1035,40,3.97,11,2,13,9,715
1014,55,3.35,11,2,17,9,716
1010,38,4.03,11,1,14,0,717
1030,53,3.85,11,2,17,7,718
1042,51,3.78,11,2,20,10,719
1038,43,3.62,10,2,15,10,720
1024,42,3.51,11,2,15,10,721
1031,43,3.28,11,1,24,10,722
1022,43,3.65,10,1,12,11,723
1039,40,3.56,12,1,20,11,724
1041,42,3.31,13,1,14,9,725
1107,36,3.51,12,1,13,4,726
1057,45,3.32,12,1,17,7,727
1033,44,3.36,11,2,13,7,728
1050,47,3.37,13,1,0,7,729
1075,44,3.95,13,1,16,9,730
1042,51,3.26,12,1,13,8,731
1026,40,3.59,12,1,24,6,732
1021,50,3.68,12,1,10,6,733
1045,42,3.77,12,1,21,12,734
1026,47,3.2,11,2,18,5,735
1042,41,4.07,13,1,23,6,736
1049,47,3.02,12,1,17,6,737
1048,39,3.77,12,1,15,8,738
1049,55,3.28,12,1,19,10,739
1049,51,3.36,13,1,13,10,740
1049,44,3.42,12,1,20,3,741
1048,44,3.45,12,1,17,9,742
1049,55,4.07,12,1,15,7,743
1048,29,3.38,12,1,17,9,744
1049,39,3.05,11,1,20,12,745
1049,53,3.18,14,1,13,6,746
1048,35,3.51,12,2,23,8,747
1049,34,3.46,11,2,20,8,748
1048,47,3.78,12,2,24,10,749
1049,39,3.54,12,2,13,8,750
1048,44,3.23,12,2,21,12,751
1049,45,3.89,12,2,16,9,752
1049,37,3.3,14,2,21,15,753
1048,36,3.62,13,1,16,9,754
1048,47,3.62,13,2,19,11,755
1049,41,3.36,14,2,19,5,756
1049,37,3.84,14,2,17,11,757
1048,44,3.78,14,2,18,10,758
1048,46,3.41,14,2,18,10,759
1049,28,3.96,13,1,22,12,760
1049,43,3.71,13,2,16,12,761
1049,42,4.24,14,2,12,16,762
1049,46,3.5,13,1,18,11,763
1049,46,3.02,13,2,22,8,764
1049,51,3.51,13,2,19,9,765
1049,34,3.19,13,2,17,12,766
784,37,4.28,13,2,14,9,767
808,59,3.18,13,2,13,17,768
821,37,3.32,13,2,11,15,769
796,42,3.58,14,2,15,9,770
831,40,3.24,13,1,15,14,771
782,61,3.71,14,2,22,13,772
810,49,4.05,13,1,20,13,773
845,51,3.47,13,2,14,17,774
838,58,3.64,13,1,19,10,775
826,62,3.38,14,1,14,9,776
842,57,3.15,13,2,14,11,777
829,47,4.8,13,1,23,14,778
795,57,3.54,13,2,10,12,779
804,45,3.62,13,1,16,11,780
785,65,3.66,13,2,21,10,781
826,51,3.72,13,2,13,8,782
844,54,3.1,13,2,15,11,783
740,55,3.23,13,1,19,7,784
779,61,3.98,12,1,17,14,785
774,52,3.16,13,1,11,11,786
811,46,3.37,13,1,15,11,787
732,58,3.9,13,2,16,13,788
830,50,3.85,13,1,16,14,789
814,55,3.64,13,1,12,16,790
856,52,3.5,13,1,11,10,791
834,50,3.42,13,1,21,8,792
370,49,3.67,18,1,20,12,793
790,58,3.97,13,1,16,9,794
812,42,3.65,13,1,20,14,795
846,57,3.89,13,2,8,8,796
1017,43,4.3,13,2,19,14,797
1017,42,3.74,13,1,26,10,798
1017,45,3.03,13,2,22,12,799
1016,52,3.65,13,2,15,10,800
1017,54,3.02,13,2,24,11,801
1016,54,4.04,13,2,23,9,802
1016,43,3.42,13,1,20,10,803
1016,52,3.51,13,2,17,9,804
1044,33,3.23,13,1,21,8,805
1017,51,3.92,13,2,17,9,806
1017,45,3.04,13,1,21,5,807
1016,48,3.82,13,2,21,6,808
1017,51,3.73,12,1,20,12,809
1016,46,3.32,13,1,17,10,810
1016,52,4.11,15,2,22,10,811
1016,43,3.56,15,1,19,8,812
1016,47,3.37,14,2,21,9,813
1017,44,3.08,15,2,27,3,814
1016,45,3.41,15,2,18,9,815
1017,54,3.36,15,2,18,10,816
1017,44,4.03,15,0,22,10,817
1017,52,3.34,14,2,16,12,818
1017,50,3.62,15,2,21,11,819
1016,44,3.53,15,1,24,10,820
1017,43,3.42,15,1,20,9,821
1016,51,3.37,15,2,22,13,822
1016,57,3.02,15,2,22,12,823
1016,46,3.61,15,2,21,8,824
1016,44,3.01,15,2,20,6,825
1016,42,3.31,15,2,12,13,826
1044,45,3.26,14,2,22,12,827
1044,48,4.06,15,2,18,13,828
1044,53,3.69,15,2,22,8,829
1044,56,4.03,15,3,14,7,830
1044,63,3.58,15,2,14,10,831
1044,80,3.03,15,2,25,10,832
1044,51,3.85,15,2,11,16,833
1044,63,3.28,15,2,10,5,834
1044,48,3.33,15,2,9,7,835
1044,56,3.61,15,2,11,4,836
1044,45,3.07,15,2,15,12,837
1044,56,3.81,15,2,15,17,838
1044,51,3.36,15,2,14,11,839
1044,63,3.42,15,2,14,3,840
1044,50,3.46,14,2,12,6,841
1044,65,3.79,14,2,21,10,842
1044,45,3.21,15,2,8,3,843
1044,55,3.01,14,2,16,3,844
1044,34,3.29,14,2,14,15,845
1044,47,3.04,15,2,18,12,846
1044,35,3.77,14,1,10,10,847
1044,48,3.85,15,2,15,10,848
1044,55,3.88,14,2,17,9,849
1044,44,3.87,14,2,16,10,850
1044,36,3.25,14,2,12,10,851
1044,32,3.83,15,2,10,12,852
1044,38,3.91,15,3,13,13,853
1044,32,3.9,15,2,18,12,854
1044,41,3.05,14,2,16,9,855
1044,33,3.95,15,1,14,11,856
1023,39,3.49,14,2,21,12,857
926,48,3.57,15,1,12,8,858
1023,42,3.36,14,1,15,11,859
1023,41,3.34,15,1,16,9,860
1023,38,3.3,15,1,19,2,861
1023,45,4.06,16,1,12,9,862
1023,37,3.39,15,1,13,9,863
1050,47,3.07,14,3,14,7,864
1023,33,3.83,15,1,11,7,865
1023,29,3.14,14,1,17,11,866
1023,44,3.18,14,1,12,8,867
1023,29,3.17,14,2,10,6,868
1023,39,3.53,12,2,12,8,869
1023,16,3.58,12,1,10,6,870
1025,45,3.09,12,2,14,8,871
1023,43,3.38,12,1,15,8,872
1023,56,3.06,12,2,12,7,873
1023,59,3.37,12,2,16,12,874
1023,51,3.61,12,2,17,10,875
1023,61,3.76,12,2,10,10,876
1023,41,3.77,12,2,20,7,877
1023,76,3.7,15,2,22,7,878
1023,41,3.79,12,2,14,7,879
1023,36,3.94,12,2,19,9,880
1023,42,3.71,12,2,23,8,881
1024,45,3.94,12,2,17,9,882
1023,42,3.55,12,2,22,8,883
1023,54,3.76,12,1,21,12,884
1012,25,3.15,12,2,19,12,885
1023,32,3.24,12,2,16,8,886
1004,45,4.13,12,2,18,13,887
1004,48,3.62,12,2,24,12,888
1196,81,4.0,12,2,21,12,889
1004,36,3.17,12,1,16,11,890
1004,44,3.45,12,1,21,13,891
1003,52,3.27,12,2,18,12,892
1004,39,3.87,12,1,16,12,893
1003,38,3.08,12,2,25,14,894
1004,35,3.68,12,2,17,8,895
1004,39,3.23,12,2,16,13,896
1003,51,3.62,12,1,20,11,897
1004,38,3.53,12,1,23,12,898
1004,39,3.86,16,1,19,12,899
1004,43,3.63,16,1,19,12,900
