cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
3140,182,3.17,18,8,401,37,543
2229,148,3.88,18,8,451,27,544
2647,197,3.87,18,7,398,43,545
2588,207,3.26,18,8,476,4,546
2665,173,4.58,18,7,373,29,547
2918,206,3.92,18,7,409,32,548
1777,199,3.76,18,6,408,25,549
2736,209,3.72,17,7,447,30,550
1880,204,3.33,18,6,438,50,551
2469,195,3.94,18,6,420,31,552
2685,181,3.99,18,7,412,24,553
2763,196,3.57,18,7,432,24,554
2869,267,3.55,16,7,434,26,555
2304,207,3.72,18,7,378,29,556
2077,216,3.47,18,7,407,17,557
2810,175,3.62,18,7,467,26,558
2165,198,4.18,13,7,331,30,559
2706,177,3.13,13,7,426,9,560
2587,163,4.18,13,6,408,34,561
2582,192,3.83,13,6,361,32,562
2793,181,4.0,13,6,483,29,563
2585,189,3.74,13,8,425,34,564
1928,182,3.09,13,8,405,16,565
2393,197,3.85,13,8,410,29,566
2221,213,3.58,13,8,425,39,567
2432,211,3.16,13,8,350,37,568
2855,197,3.91,13,8,413,48,569
2636,201,3.54,13,8,386,30,570
2450,156,3.93,13,8,359,24,571
2494,204,3.74,13,8,413,30,572
1450,206,3.22,13,8,386,25,573
2402,178,3.99,14,8,407,33,574
3053,200,3.71,13,8,395,44,575
2467,222,3.86,13,8,316,24,576
2879,199,3.2,13,8,350,39,577
2315,193,3.84,13,8,366,43,578
2680,205,3.48,13,8,345,21,579
2305,197,3.45,13,8,385,38,580
2261,252,4.29,13,8,333,39,581
2771,206,3.4,13,8,305,27,582
3142,207,3.18,13,8,405,47,583
2529,218,3.39,13,8,376,25,584
2549,195,3.96,16,8,364,34,585
2118,216,4.06,17,8,309,37,586
2204,225,3.88,16,8,353,35,587
2371,229,3.72,17,8,312,35,588
2564,203,3.82,17,8,368,21,589
3808,207,3.11,16,8,415,41,590
2807,208,3.97,16,8,335,12,591
2735,213,3.3,17,8,370,50,592
2319,158,3.66,16,8,456,35,593
2112,167,3.58,16,8,483,37,594
1803,159,3.6,16,8,478,34,595
2667,166,3.81,16,8,439,39,596
2849,160,3.18,16,8,456,39,597
2722,176,4.02,16,8,444,35,598
2452,163,3.82,16,8,488,35,599
2843,161,3.49,16,8,478,27,600
2461,160,3.64,22,8,472,41,601
2383,167,3.71,17,8,461,29,602
2433,160,3.04,17,8,488,34,603
3173,147,3.04,16,8,455,44,604
2821,171,3.72,16,8,471,24,605
3265,167,3.51,16,9,479,45,606
2602,164,3.39,16,8,457,27,607
2321,162,3.71,16,8,465,42,608
3046,160,4.07,16,8,449,42,609
2360,153,3.64,16,8,459,47,610
2261,210,3.42,15,8,442,34,611
2668,213,3.22,15,8,465,46,612
1912,212,3.33,15,8,505,46,613
2230,213,3.45,15,8,433,35,614
2647,216,3.71,15,7,480,56,615
2810,215,3.35,15,7,475,48,616
2232,215,3.91,15,7,480,14,617
2286,218,3.15,15,8,425,30,618
2302,212,3.69,15,7,470,39,619
2290,209,4.06,15,7,489,38,620
2213,276,3.71,15,7,502,37,621
2405,209,3.96,15,7,449,31,622
2786,209,3.84,15,7,425,33,623
2855,217,3.87,15,10,475,34,624
1659,208,3.01,15,7,478,44,625
2572,220,3.0,15,7,521,32,626
2056,216,3.62,15,8,479,30,627
2313,210,4.09,15,7,471,19,628
2168,205,3.41,15,7,277,33,629
2148,208,3.73,15,7,348,28,630
1608,200,4.05,15,7,348,36,631
