query_id,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,late_ratio,ground_truth
8461f9a2-82e4-4ea3-ace3-9efcdb9a5f9e,1,1,1,1,0,pocket_in
d38d1a1b-f56a-46a2-b321-9015a2527bb6,0,0,1,1,0,opening
d4288fd1-3eb6-4a79-9ebb-548fefacb895,1,1,1,1,0,exiting
4afc2507-6fb2-4e82-879d-53ab169b22eb,1,1,1,1,0,pulling
ff11e4f4-ac37-46b1-97a4-4f00338fb5ca,0,1,1,1,0,opening
f8420ed0-54bf-4ec4-a1ce-3537ac8638de,1,1,1,1,0,fall
b2163e8b-e4f9-449e-91fb-e3642d6d7aee,1,1,1,1,0,carrying_light
b48b6596-0e23-4d9e-b0a8-c258a7bb9d2e,0,1,1,1,0,using_phone
3cef579a-0c31-40a6-b87d-f266571bbd50,1,1,1,1,0,fall
29da6487-7f4e-4d7d-b3e6-52b4687e644f,1,1,1,1,0,talking_on_phone
bd330e92-3a4b-495b-9dd5-ed4cbcc0a9a8,0,1,1,1,0,transferring_object
45bf7071-a38e-4015-8696-8c8cf3e52472,1,1,1,1,0,crouching
1d3b4510-f13c-4967-a0ea-908a01b0a604,1,1,1,1,0,waving_hand
3a5016a7-0df0-4604-9907-186178232b62,1,1,1,1,0,picking_up
1b088d26-ce8e-4626-b4e6-f8dc654beb32,0,0,0,1,0,drinking
18ab990a-77c5-4c54-bda7-98fa573c84f1,1,1,1,1,0,waving_hand
780504bf-6f34-4559-9a1e-39260ada50be,1,1,1,1,0,standing_up
18d75af7-d555-401a-8226-248a7ca77a0c,1,1,1,1,0,pocket_in
9ecca6ad-d8ce-45aa-bf29-e0303ba841fe,1,1,1,1,0,pocket_in
66580127-5f62-401f-b698-ac1b79457a81,0,1,1,1,0,pointing
65515a35-fccb-4d51-a371-de0f7a9986f8,1,1,1,1,0,Carrying_light
20220a68-787e-403a-b498-fa5cd45ea676,0,0,0,1,100,entering
25c5c9f1-7425-4696-9734-2526275d0422,1,1,1,1,0,standing
f77f4f16-4363-431a-9995-f446fa3a930f,0,0,0,1,100,throwing
