query_id,time_violation,remaining_inference_time,data_sources,top_1,top_3,top_5,top_10,no_object,list_objects
52c956b6-e9b3-4cf7-838f-959e2c5aa6b9,False,2.124205885969161,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,3.0,"[0, 1, 3]"
61e0d5db-61e6-4229-a956-07430583d3bb,False,1.6591249700796702,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 1]"
9595f7ac-c76e-49c3-b9e1-29a6df86e069,False,1.6866581857552323,"['rgb', 'ninf', 'minf', 'finf']",9.0,9.0,9.0,9.0,10.0,"[0, 2, 3, 4, 5, 8, 10, 12, 13, 14]"
85ee99ca-1a7a-4498-b030-ef425aea4582,False,1.178353865987782,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,4.0,"[0, 1, 2, 8]"
f849605e-e2f7-49a5-9cf0-86f9c6664b49,False,1.7545943150274392,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 1]"
43776ba3-f9e6-4f7e-9fa9-4b0881532070,False,0.7195680507870712,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
aa619614-494e-4458-8018-3125fd800642,False,0.6694125533119925,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,2.0,"[0, 1]"
6fc1c5c4-5b49-4945-976e-a803f8437f4e,False,0.7701841295645313,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,3.0,"[0, 2, 6]"
b4736605-c702-49af-ac37-d980ad49d0cc,False,2.4334442797059674,"['rgb', 'ninf', 'minf', 'finf']",9.0,9.0,9.0,9.0,9.0,"[0, 1, 3, 4, 6, 9, 14, 16, 19]"
1679a97c-dd54-48c5-a2d2-59a4d9205145,False,2.396326078563918,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,6.0,"[0, 1, 2, 4, 6, 7]"
1e95d62a-6ca6-429f-a318-6a9c6074ad7b,False,1.7312710703401817,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,5.0,"[0, 1, 2, 4, 5]"
6ba38319-ed5f-4199-8ca7-832e73fae3fd,False,2.3702952740074585,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,7.0,"[0, 1, 3, 5, 6, 7, 8]"
b8c88625-672e-4cac-b034-620cbec76790,False,1.4465109568895276,"['rgb', 'ninf', 'minf', 'finf']",4.0,6.0,6.0,6.0,6.0,"[0, 1, 2, 5, 6, 9]"
583d5e6e-28d7-4f18-999c-9ca1c66728a4,False,2.174951512403979,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,5.0,"[0, 1, 2, 3, 7]"
7e34bf71-3faa-4460-9f86-f79cedacca58,False,2.5161786955104155,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
28ed215e-ee05-44a5-94b7-26e1912e4e40,False,2.0616665790637065,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
f94f1574-fde1-46b8-8432-315dc8446d56,False,2.1178385775877766,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,4.0,"[0, 1, 2, 3]"
4d70cd31-e4ac-4428-834d-02e2f30b17cc,False,1.090156721588468,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
1e7423b5-24e9-4123-8562-c8276ef7080f,False,0.839711431094528,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,3.0,"[0, 1, 4]"
e0e7f4b2-e27a-40b0-b70a-1cbe836bb049,False,1.2799075250894936,"['rgb', 'ninf', 'minf', 'finf']",12.0,12.0,12.0,12.0,13.0,"[0, 1, 2, 3, 5, 8, 9, 10, 12, 14, 15, 18, 21]"
a2ddfc69-ab79-438a-ac9e-bd646922b7ad,False,0.6598571593864213,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,4.0,"[0, 1, 2, 4]"
a0d32399-2226-4b18-9692-10a1daef4689,True,0.7833675623189312,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,2.0,"[0, 1]"
fc230de6-89cb-4c83-85ca-4d045873d70c,False,0.8553198611975754,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,5.0,"[0, 1, 3, 5, 9]"
2bf26f9c-f133-4396-8bd6-c82d9cdc1d2c,False,2.1716081367979028,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
42dd7146-f23f-41e8-8c2e-a14c5f7eabcf,True,2.5095229600232187,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
cc26b41e-1c54-45a4-a409-aefc27f3542f,False,0.6440063287496322,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,5.0,"[0, 1, 2, 3, 4]"
41d0c8ff-b115-4a06-9ef4-799273c38a49,False,0.7589678761258659,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[1, 2]"
f8c99a87-885a-46e2-a288-13c6ed85544d,False,1.494913239345912,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,8.0,"[0, 1, 2, 4, 5, 6, 13, 14]"
69949e68-79fc-49c7-89c6-dfe4013b91ca,False,0.5490076295274022,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,2.0,"[0, 1]"
81567f21-c57e-43eb-a91c-f4144e8c1628,False,1.603710466886532,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,2.0,"[0, 1]"
e08a7981-f03d-42e2-a97f-1613ebc73588,False,1.7215387256937125,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
0869fddf-e03d-4b9d-8f68-4a52e9bed9b4,False,0.8562684392972065,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,3.0,"[0, 1, 10]"
e0b68284-2773-4a28-a84e-eafb68015afe,False,0.572467982046884,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,3.0,"[0, 1, 2]"
dc430db6-acf5-41fb-a5eb-a07ffa8ecf58,False,1.8109738440193657,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,4.0,"[0, 1, 6, 7]"
1868c9b3-9ed0-4c9d-a6b2-e465e5c8b43e,False,1.71863648090235,"['rgb', 'ninf', 'minf', 'finf']",14.0,14.0,14.0,14.0,15.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
a8b8f2b0-0f18-4fa8-8237-7ebe396d4a89,False,1.4205751644201825,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,4.0,"[0, 1, 2, 3]"
7f14144b-4dbb-4b16-95f5-72623f02a5c2,False,2.073023401179112,"['rgb', 'ninf', 'minf', 'finf']",8.0,8.0,8.0,8.0,9.0,"[0, 1, 2, 3, 4, 7, 8, 9, 11]"
1f3efef0-5def-445b-87d5-eb6bbd344494,False,0.5601992072068314,"['rgb', 'ninf', 'minf', 'finf']",10.0,10.0,10.0,10.0,12.0,"[0, 1, 2, 3, 4, 6, 7, 9, 11, 21, 22, 23]"
6a5ef1af-fd51-4ccc-a586-4f6adaaf31f3,False,1.8724089290527648,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,8.0,"[0, 1, 2, 3, 4, 5, 7, 10]"
13d52787-c4ad-4fa9-948f-61a4914bc69b,False,1.6665868007181837,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,5.0,"[0, 1, 3, 4, 6]"
e54822d9-49f7-483a-8c36-8eca3781d3f7,False,0.7636703930813415,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[1]
3ecf5875-cb42-48ad-b410-060493d1a648,False,1.0896002994792815,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 1]"
7f355f15-068a-486a-98c8-ce8a47a092eb,False,0.6018896445465762,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
0cad3361-8ed9-44df-a850-a1c8561f72ff,True,0.762221990591244,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,6.0,"[0, 1, 2, 3, 4, 6]"
12436f35-e41c-4389-b2ea-a30749d601c3,False,1.5696229119815113,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,8.0,"[0, 1, 2, 3, 4, 6, 8, 9]"
e606371c-18a0-4514-8e43-7f91cc4ea67d,False,1.6757245948942914,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,5.0,"[0, 1, 2, 3, 4]"
