core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
33.25,2.71,2.23,1.41,1.37,1.32,3.31,3.82,285.53,3.73,456
34.28,3.05,2.3,1.8,1.53,1.19,4.18,3.87,293.18,3.86,457
34.97,2.64,2.11,1.84,1.72,1.28,2.81,4.05,276.24,3.73,458
38.3,2.86,2.32,1.91,1.65,1.3,2.5,3.96,294.98,3.8,459
35.02,2.63,2.14,1.09,1.91,1.43,2.58,4.03,324.06,3.43,460
34.29,2.61,2.34,1.72,1.7,1.34,2.39,4.0,296.82,3.83,461
33.74,3.41,2.0,1.68,1.84,1.5,2.43,3.96,290.78,3.61,462
36.32,3.16,2.25,1.56,1.68,1.47,2.39,3.83,296.35,3.65,463
35.08,2.96,2.06,1.66,1.46,0.99,2.47,3.86,282.9,4.07,464
36.19,2.91,2.1,1.78,1.68,1.41,2.2,3.41,291.69,3.9,465
38.36,3.12,2.22,1.34,1.77,1.12,2.34,3.32,292.15,3.93,466
38.56,3.13,2.04,1.77,1.73,1.34,2.09,3.46,274.71,3.71,467
34.47,3.05,2.11,1.57,2.17,1.4,2.15,3.43,270.69,3.96,468
42.53,3.3,2.03,1.41,1.4,1.13,2.43,3.21,292.81,3.47,469
36.46,3.39,1.89,1.84,1.74,1.55,2.04,3.63,270.19,3.67,470
34.93,2.9,2.15,1.62,1.77,1.3,2.55,3.02,296.9,3.72,471
34.32,4.03,2.01,1.81,1.84,1.71,2.28,2.84,275.2,3.65,472
34.25,3.45,2.29,1.65,1.78,1.34,2.75,3.7,301.76,3.55,473
37.53,3.28,2.18,1.6,2.07,0.92,1.86,3.21,300.02,4.05,474
31.84,2.89,2.12,1.76,1.38,1.06,2.1,3.4,298.92,3.69,475
38.1,2.87,2.59,1.78,1.9,1.15,1.99,3.35,287.44,4.07,476
35.87,3.15,2.33,1.03,1.92,1.33,2.13,3.97,274.47,3.59,477
35.42,3.03,2.59,1.59,1.57,1.19,2.22,3.69,287.81,3.83,478
37.38,2.89,2.09,1.32,1.57,0.98,2.36,3.35,280.76,3.83,479
35.63,3.07,2.56,1.39,1.41,1.34,2.39,3.39,260.46,3.83,480
33.69,3.16,2.16,1.41,1.61,1.22,2.43,3.47,285.63,3.79,481
33.86,3.56,2.48,1.55,1.63,1.05,2.36,3.29,287.92,3.73,482
31.4,3.98,2.21,1.63,1.65,1.2,2.59,3.01,228.06,3.86,483
34.18,3.54,2.11,1.6,1.45,1.06,2.19,3.31,243.01,4.13,484
34.28,3.05,2.4,1.62,1.78,0.55,2.45,3.29,222.38,3.67,485
36.89,3.27,1.82,1.31,1.74,1.45,2.31,2.72,228.43,4.02,486
35.48,2.81,2.31,1.28,1.56,1.1,2.41,2.99,224.34,4.09,487
33.92,3.11,2.3,1.03,1.61,1.3,2.4,2.8,230.36,3.87,488
39.02,3.26,2.29,1.61,1.74,1.76,2.34,2.76,228.16,3.85,489
33.71,3.02,2.49,1.27,1.84,1.26,2.22,2.88,239.86,3.83,490
32.4,3.73,2.05,1.61,1.72,1.15,2.32,2.62,235.36,4.1,491
30.75,3.36,2.21,1.32,1.75,1.11,2.2,2.76,236.52,3.79,492
29.63,3.46,2.71,1.52,1.66,1.15,2.48,2.51,245.24,3.4,493
35.23,3.15,2.44,1.74,2.53,1.22,2.04,2.48,245.57,3.75,494
31.31,2.98,2.21,1.44,2.02,1.38,2.09,2.84,238.23,3.79,495
34.99,3.43,2.1,1.37,1.85,1.31,2.3,2.7,224.92,3.66,496
32.42,3.48,2.25,1.59,1.75,1.13,2.33,2.76,230.35,3.57,497
34.99,3.98,2.38,1.63,2.25,1.13,2.22,2.68,243.27,3.73,498
34.28,4.19,2.45,1.5,1.95,1.34,1.95,2.97,232.93,3.78,499
30.0,3.79,2.68,1.59,1.64,1.34,2.26,2.92,227.5,3.54,500
34.89,3.09,2.25,1.44,1.34,1.26,2.14,2.71,230.64,3.85,501
32.61,3.08,2.58,1.34,1.82,1.25,2.03,2.69,236.48,3.43,502
