core1,core2,core3,core4,mem,gpu,norm_ex_time
37.78,1.69,2.32,0.97,267.25,2.74,525
37.53,1.59,2.73,1.35,271.24,2.81,526
37.81,1.21,2.27,1.46,269.32,3.06,527
37.65,1.65,2.2,1.36,267.06,3.12,528
37.83,1.51,2.52,1.22,274.02,3.7,529
37.84,2.06,2.44,0.96,261.34,3.57,530
37.93,1.48,2.34,1.34,272.94,3.66,531
35.06,1.65,2.46,1.24,272.91,3.36,532
37.61,1.23,2.93,1.44,268.86,4.64,533
37.73,1.22,2.72,1.2,270.53,3.12,534
37.78,1.53,2.35,1.21,278.22,4.31,535
37.71,1.62,2.57,0.96,271.09,3.49,536
37.87,1.69,2.48,1.19,252.15,3.42,537
37.64,1.33,2.65,1.21,274.11,3.49,538
37.7,1.43,2.39,1.19,272.32,3.64,539
37.73,1.57,3.17,1.31,275.63,3.22,540
35.87,1.39,2.63,1.24,269.67,3.61,541
37.12,1.41,2.21,1.08,272.98,3.32,542
37.15,1.21,2.51,0.83,191.92,3.48,543
34.12,2.39,2.57,1.2,188.11,3.58,544
35.15,1.28,2.57,1.11,200.67,3.69,545
36.72,1.3,2.5,1.33,209.86,3.76,546
34.79,1.33,2.57,1.04,188.66,3.59,547
36.6,1.44,2.43,1.46,198.44,3.47,548
34.55,1.45,2.49,0.8,192.91,3.63,549
33.51,1.41,2.65,1.08,208.57,4.37,550
33.7,1.17,2.52,1.43,199.09,3.95,551
36.11,1.43,2.6,1.14,189.68,4.05,552
37.29,1.41,2.66,1.31,192.27,4.3,553
32.48,1.26,2.66,0.96,182.16,4.25,554
40.34,1.35,2.32,0.93,190.86,4.44,555
36.3,1.33,2.79,1.0,201.42,4.15,556
36.4,1.13,2.63,0.99,197.58,3.92,557
32.39,1.59,2.45,1.01,209.92,4.08,558
34.58,1.1,2.33,1.45,206.69,4.16,559
35.73,1.35,2.58,1.1,223.45,3.19,560
26.81,1.22,2.66,1.11,190.22,4.13,561
33.18,1.27,2.57,1.09,279.86,4.17,562
33.5,1.41,2.7,1.26,193.38,4.2,563
33.41,1.49,2.23,1.0,197.5,4.27,564
33.34,1.75,2.88,1.13,191.75,4.18,565
33.54,1.79,2.53,1.46,193.53,4.02,566
33.71,1.58,2.23,1.12,174.66,3.97,567
33.55,1.43,2.55,1.21,174.96,4.44,568
33.33,1.2,2.5,1.22,195.32,4.35,569
33.28,1.22,2.67,1.25,193.3,4.31,570
13.24,1.58,2.99,1.25,277.15,4.03,571
33.27,1.43,2.73,1.44,272.68,3.71,572
33.32,1.33,2.94,0.94,253.91,4.0,573
33.26,1.61,3.09,1.21,267.0,4.02,574
33.36,1.19,3.0,1.48,268.01,4.19,575
33.42,1.44,3.13,1.38,177.54,3.77,576
33.56,1.45,3.26,1.35,245.85,3.71,577
32.3,0.61,2.71,1.6,279.38,3.79,578
33.28,1.49,3.21,1.58,257.08,3.35,579
33.71,1.73,3.02,1.02,262.65,3.71,580
33.2,1.33,3.1,0.99,257.48,3.91,581
33.18,1.67,2.86,1.39,284.95,3.98,582
33.53,1.65,2.92,1.28,262.15,3.6,583
33.3,1.53,2.97,1.08,269.07,3.85,584
33.01,1.05,3.14,1.71,269.06,3.48,585
33.6,1.53,3.49,1.45,285.66,3.66,586
37.47,1.48,2.85,1.23,255.84,3.51,587
34.63,1.74,2.98,1.18,240.43,3.67,588
39.66,1.69,3.15,1.4,241.56,3.95,589
40.27,1.56,2.79,1.27,254.76,3.92,590
38.65,1.11,2.64,1.39,257.37,4.13,591
35.99,2.01,3.12,0.99,246.13,3.63,592
39.42,1.73,3.1,0.91,285.16,4.08,593
42.88,1.54,3.1,2.0,258.81,4.13,594
42.04,2.05,1.83,1.3,273.49,3.89,595
39.03,1.48,2.63,1.34,251.73,3.27,596
35.85,1.81,3.47,1.24,258.22,4.11,597
40.68,1.66,2.72,0.99,259.53,3.77,598
36.03,2.06,2.69,0.36,346.53,4.32,599
40.74,1.79,2.73,0.95,330.85,3.81,600
41.47,1.53,2.65,1.34,327.2,3.29,601
41.63,1.6,2.74,1.29,316.99,4.04,602
35.47,1.65,2.62,1.24,354.52,3.78,603
38.35,1.52,2.32,0.99,353.16,3.9,604
40.97,1.44,2.75,1.12,323.27,3.72,605
36.87,1.83,2.8,1.03,333.69,4.06,606
37.09,1.6,2.76,1.34,336.46,3.6,607
34.73,1.55,3.0,1.13,324.21,3.66,608
39.39,1.54,2.56,1.26,298.67,4.32,609
37.44,1.65,1.54,1.3,319.07,4.12,610
38.2,1.74,2.8,1.22,314.69,3.87,611
37.4,1.5,2.37,1.22,317.98,3.64,612
36.68,1.66,2.46,1.25,299.17,4.3,613
37.3,1.47,2.56,1.28,336.97,4.56,614
37.85,1.62,2.69,0.75,324.87,4.36,615
32.29,1.58,2.67,1.49,331.18,4.0,616
37.24,1.79,2.86,1.28,335.21,4.51,617
38.05,1.49,2.33,1.35,309.03,4.47,618
36.61,1.54,2.52,1.27,332.61,4.29,619
36.51,2.06,2.68,1.07,318.26,4.28,620
37.06,1.31,2.89,1.51,313.38,4.07,621
37.18,1.14,2.66,1.26,332.98,4.45,622
38.18,1.42,2.57,0.94,323.95,4.4,623
37.74,1.75,2.48,0.95,330.3,4.36,624
36.86,1.08,2.55,1.28,335.51,4.61,625
38.7,1.65,2.8,1.13,320.63,4.33,626
37.41,1.81,2.76,1.13,276.12,4.17,627
37.77,1.89,2.78,1.23,276.09,4.28,628
37.42,1.39,2.71,1.0,276.01,4.24,629
39.57,1.7,2.38,1.26,275.92,4.21,630
35.26,1.12,2.56,1.07,276.18,4.44,631
36.65,1.44,2.01,1.3,276.07,4.45,632
36.2,1.59,2.76,1.37,275.98,4.21,633
36.32,1.25,2.56,0.91,275.87,3.25,634
36.46,1.83,3.0,1.04,275.67,3.01,635
36.33,1.19,2.28,1.13,275.91,3.58,636
35.95,1.42,2.81,0.95,213.49,3.25,637
36.31,1.38,2.65,1.09,275.75,3.43,638
36.05,1.25,2.93,1.22,276.17,3.51,639
36.23,1.28,2.82,1.32,276.09,3.3,640
36.15,1.48,2.64,1.1,275.82,3.5,641
36.24,1.35,2.41,1.06,275.99,3.37,642
36.25,1.22,3.05,0.96,276.19,2.95,643
36.35,1.38,2.9,0.87,276.2,3.44,644
48.23,1.07,2.52,1.37,276.12,3.09,645
32.03,1.27,2.55,0.79,275.81,3.95,646
36.19,1.32,2.68,1.29,275.78,3.5,647
36.12,1.53,2.73,1.23,275.77,1.72,648
36.48,1.57,2.64,1.24,275.78,2.73,649
35.97,1.47,2.79,1.12,276.33,3.22,650
36.01,1.31,2.53,1.03,276.02,3.89,651
36.08,1.75,2.46,1.35,275.71,2.71,652
36.15,1.33,2.42,1.37,276.15,3.42,653
36.09,1.76,2.94,1.07,190.6,3.38,654
36.27,1.75,2.3,1.66,285.71,4.25,655
40.79,1.46,2.47,1.22,286.77,4.58,656
36.6,1.45,2.45,1.13,291.56,4.31,657
41.91,1.41,2.55,1.5,293.8,4.31,658
37.53,1.25,2.44,1.07,293.12,4.42,659
38.95,1.64,2.58,1.13,294.65,4.01,660
37.26,1.29,2.78,2.01,292.53,4.68,661
44.93,1.82,2.6,1.12,293.76,4.23,662
38.95,1.98,2.58,1.74,294.39,3.84,663
32.94,1.65,2.75,0.98,294.08,4.2,664
39.27,1.68,2.35,1.02,290.7,4.34,665
43.28,1.56,2.69,1.01,293.47,3.64,666
36.59,1.68,2.02,1.14,289.37,4.18,667
38.71,1.3,2.29,1.45,292.81,4.58,668
41.17,1.49,2.4,1.15,289.64,4.3,669
37.02,1.28,2.13,1.12,291.17,4.0,670
36.55,1.41,2.15,1.24,288.81,4.36,671
47.73,1.61,2.2,1.05,294.15,4.34,672
37.33,1.42,2.07,1.37,291.08,4.49,673
