cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
267,68,3.14,7,1,17,18,512
262,60,3.16,8,2,18,30,513
267,55,3.9,7,2,17,14,514
261,80,3.44,7,2,15,24,515
266,73,3.19,7,2,16,16,516
247,60,3.35,7,2,12,37,517
272,66,3.45,7,2,14,28,518
259,61,3.76,7,2,16,25,519
208,29,3.31,7,2,15,28,520
239,75,3.64,7,2,7,13,521
249,67,3.05,7,1,15,25,522
201,56,3.28,7,2,14,21,523
253,69,3.21,7,1,11,26,524
244,72,3.25,7,2,13,22,525
248,66,3.53,7,1,12,27,526
256,82,3.33,7,2,12,29,527
247,60,3.94,5,2,11,18,528
231,67,3.54,9,2,11,35,529
242,68,3.28,8,2,12,10,530
260,57,3.81,9,2,15,33,531
258,68,3.02,8,1,13,24,532
231,65,3.55,8,3,14,24,533
200,72,3.7,8,2,12,15,534
308,74,3.67,8,2,11,45,535
219,62,3.49,9,2,10,32,536
237,74,3.58,9,2,15,24,537
172,83,3.8,9,2,17,20,538
224,68,3.0,8,2,14,22,539
226,63,3.89,9,2,18,34,540
209,59,4.17,8,1,14,16,541
232,61,3.2,8,2,18,9,542
198,80,4.01,8,1,16,16,543
220,82,3.19,9,1,13,21,544
254,68,3.99,7,2,16,16,545
260,59,3.53,7,1,16,27,546
250,58,3.52,7,1,15,12,547
220,78,3.2,7,1,15,15,548
250,57,3.64,7,2,15,10,549
204,44,3.59,7,2,18,9,550
256,72,3.81,8,1,19,27,551
235,63,3.94,7,1,12,24,552
232,68,3.73,7,1,19,20,553
230,77,3.12,7,2,21,9,554
283,69,3.78,8,1,19,13,555
252,56,3.98,8,2,14,22,556
264,31,3.88,8,2,8,23,557
225,93,3.81,7,1,16,20,558
223,71,4.08,7,2,15,14,559
262,54,3.43,7,1,16,24,560
232,89,3.17,8,2,11,28,561
258,72,3.01,8,2,18,25,562
253,74,3.46,8,2,15,32,563
214,77,3.84,8,2,17,26,564
288,73,3.8,8,2,21,29,565
284,69,3.79,8,2,12,16,566
251,80,3.81,8,2,13,22,567
256,92,3.55,8,2,10,30,568
265,68,3.97,8,2,18,28,569
293,67,3.49,8,2,18,25,570
244,80,3.09,8,1,14,16,571
262,79,3.34,8,2,14,13,572
247,67,3.67,8,2,9,18,573
223,61,3.86,8,2,20,19,574
253,38,3.62,8,1,11,16,575
236,82,3.26,8,1,17,28,576
256,79,3.83,8,1,14,25,577
250,55,3.29,7,2,11,23,578
270,96,3.89,7,1,8,22,579
241,71,4.09,7,1,13,15,580
259,67,3.15,8,1,16,27,581
251,70,3.76,7,1,12,21,582
254,95,3.52,8,2,11,33,583
261,47,3.25,8,1,11,23,584
255,49,3.52,6,1,7,28,585
259,49,3.58,8,2,16,23,586
319,94,3.19,8,1,16,25,587
253,73,3.22,8,1,12,21,588
253,50,3.36,7,0,17,19,589
240,49,3.31,8,1,15,23,590
252,73,3.86,8,1,10,16,591
248,58,3.13,8,1,10,33,592
254,70,3.47,7,2,7,28,593
257,85,3.13,7,2,9,24,594
255,99,3.23,7,2,8,15,595
232,65,3.91,7,2,6,23,596
253,69,3.94,7,2,11,21,597
255,54,3.91,7,1,12,25,598
244,133,3.34,7,1,14,19,599
253,54,3.92,7,2,13,30,600
243,71,3.47,7,1,15,24,601
257,43,3.57,7,1,10,25,602
265,64,3.39,7,2,9,33,603
279,71,3.75,7,1,9,27,604
257,58,3.25,7,2,10,23,605
244,87,3.95,7,2,11,28,606
252,72,3.71,7,1,15,32,607
241,79,3.64,7,2,10,18,608
285,75,3.69,8,2,10,14,609
249,87,3.16,8,2,10,13,610
264,83,3.14,8,2,13,14,611
272,86,3.86,8,2,12,25,612
275,83,3.58,8,1,14,33,613
247,96,3.71,8,2,10,21,614
278,81,3.34,9,2,8,26,615
251,85,3.17,8,2,13,11,616
251,76,3.52,8,2,15,10,617
250,76,3.47,8,2,16,15,618
247,72,3.56,9,1,16,15,619
273,81,4.17,9,2,19,13,620
263,73,3.47,8,2,16,15,621
270,83,3.73,8,2,14,19,622
273,81,3.78,8,2,4,22,623
259,96,3.52,8,2,12,22,624
284,105,3.96,9,2,15,18,625
284,36,3.63,9,2,13,24,626
286,52,3.59,9,2,13,25,627
283,61,3.32,9,2,14,14,628
287,29,3.65,9,2,8,24,629
286,77,3.37,9,2,15,27,630
286,70,3.95,9,2,14,31,631
331,50,3.45,9,2,14,27,632
284,43,3.24,9,2,18,23,633
287,44,3.74,9,1,12,22,634
285,50,3.51,9,3,15,16,635
287,64,3.63,9,2,18,13,636
284,77,3.24,9,2,14,21,637
287,50,3.17,9,2,16,33,638
308,47,3.35,9,2,12,31,639
289,55,3.17,9,2,15,11,640
286,55,4.11,8,1,19,20,641
288,45,3.06,8,2,17,27,642
184,67,3.61,8,1,13,22,643
191,72,3.08,8,1,20,16,644
162,52,3.47,8,2,8,22,645
178,51,3.84,8,1,9,26,646
186,74,3.75,9,2,10,35,647
172,71,3.25,8,1,11,21,648
190,61,3.62,8,1,6,7,649
161,69,3.29,8,1,15,16,650
174,63,3.74,8,1,11,33,651
185,53,3.99,8,1,19,18,652
167,68,3.88,8,2,9,30,653
177,72,3.79,8,2,8,28,654
171,64,3.15,8,1,16,17,655
179,60,3.75,8,2,8,20,656
187,56,3.57,7,2,16,8,657
188,72,3.84,7,2,19,29,658
175,71,4.18,7,1,16,15,659
189,73,3.25,7,1,19,19,660
253,80,3.11,7,1,11,23,661
217,70,3.42,4,1,17,30,662
231,51,3.64,7,1,14,27,663
224,60,3.39,7,1,18,28,664
230,65,3.84,7,2,12,27,665
254,71,3.45,7,1,12,27,666
249,51,3.8,7,1,9,24,667
223,69,3.91,7,1,20,30,668
215,30,3.5,7,1,19,20,669
238,41,3.0,7,1,8,16,670
215,65,3.2,7,1,15,25,671
257,67,3.94,7,1,13,26,672
204,59,3.53,9,1,17,17,673
229,59,3.5,9,1,15,27,674
221,40,3.23,9,1,16,29,675
220,76,3.84,9,1,15,36,676
211,66,3.64,9,1,9,21,677
219,54,3.54,9,1,10,29,678
253,65,3.82,9,1,12,24,679
242,109,3.73,9,2,11,30,680
256,66,3.93,9,1,12,33,681
248,69,3.47,9,1,13,18,682
240,67,3.7,9,2,16,0,683
242,73,3.73,9,2,11,19,684
232,73,3.58,9,1,10,11,685
250,73,3.62,9,1,12,23,686
260,66,3.95,9,1,15,26,687
247,60,3.28,9,2,19,27,688
246,64,3.13,8,1,14,9,689
251,58,3.36,8,2,13,18,690
263,71,3.85,8,1,11,25,691
280,65,3.23,8,1,9,23,692
244,76,3.91,8,1,14,18,693
254,75,3.7,8,1,18,24,694
239,69,4.02,8,1,13,25,695
253,52,3.43,8,1,14,20,696
231,73,3.75,8,1,17,12,697
235,71,3.55,8,1,14,27,698
225,48,3.52,8,0,13,21,699
231,69,4.14,8,1,9,16,700
236,58,3.9,8,1,15,24,701
232,59,3.46,8,1,12,20,702
233,55,3.26,8,1,14,18,703
260,66,3.84,8,1,21,12,704
236,61,3.15,3,1,15,26,705
244,54,3.41,6,1,17,11,706
240,65,3.32,6,1,16,13,707
310,89,3.53,6,1,11,3,708
228,60,3.89,6,1,13,28,709
239,66,3.61,7,1,16,17,710
363,60,3.05,6,1,18,20,711
225,50,3.9,7,1,11,24,712
82,59,3.51,6,1,11,20,713
231,47,3.85,7,2,18,10,714
266,46,3.61,6,1,14,18,715
257,46,3.45,6,2,12,17,716
240,61,3.97,6,1,11,26,717
258,48,3.22,6,2,6,15,718
240,42,3.44,6,2,10,20,719
250,49,3.55,6,1,5,21,720
246,52,3.05,7,1,8,14,721
254,43,3.22,7,2,22,21,722
254,41,3.66,7,2,19,15,723
255,44,3.01,8,2,9,6,724
242,41,3.52,7,1,10,12,725
254,37,3.61,7,1,13,12,726
248,72,3.31,7,2,12,19,727
244,59,3.61,7,1,12,28,728
243,48,3.53,7,1,6,23,729
247,50,3.69,8,2,13,21,730
232,52,3.37,7,2,8,23,731
245,66,3.37,8,2,15,20,732
284,62,3.81,7,1,8,19,733
282,54,3.85,7,1,13,28,734
282,48,3.81,7,1,9,21,735
283,47,3.51,7,1,10,25,736
283,43,3.42,6,2,8,31,737
284,53,3.66,7,1,14,24,738
282,56,3.41,7,2,14,16,739
283,52,3.36,6,2,13,17,740
286,56,3.71,7,1,14,31,741
283,46,3.08,7,1,9,12,742
284,46,3.18,6,2,15,19,743
284,46,3.46,7,2,13,30,744
286,41,3.18,7,2,21,32,745
