core1,core2,core3,core4,mem,gpu,norm_ex_time
80.66,56.68,26.98,18.6,172.87,3.24,546
80.57,57.17,26.55,20.15,172.72,3.45,547
80.56,56.74,27.7,19.31,172.83,3.78,548
80.71,56.68,26.65,20.17,172.67,4.31,549
80.32,56.82,21.36,19.91,172.75,3.23,550
80.68,56.61,23.14,19.53,172.47,3.96,551
80.27,57.07,23.19,19.3,172.71,3.46,552
80.63,56.53,22.62,17.04,172.72,3.57,553
79.98,56.85,23.53,16.69,172.67,3.67,554
79.47,57.15,22.42,17.44,172.84,3.12,555
88.09,56.88,22.57,19.2,172.48,3.92,556
79.84,56.42,23.04,18.83,172.98,3.82,557
80.23,56.68,21.17,18.03,172.88,4.0,558
80.09,56.68,22.29,17.43,172.81,4.08,559
79.69,56.58,21.94,18.55,172.43,3.81,560
79.89,57.13,22.68,17.54,172.67,4.19,561
79.77,57.04,22.58,24.65,172.62,4.03,562
79.8,56.62,21.26,22.99,172.88,4.05,563
79.98,62.78,20.68,19.65,180.98,3.77,564
79.9,61.88,21.44,23.34,181.75,3.87,565
69.08,63.15,22.11,20.4,180.49,4.45,566
79.78,61.43,21.8,23.55,179.77,4.01,567
79.88,61.93,22.76,22.07,194.13,3.92,568
80.29,62.41,22.41,23.28,180.86,3.82,569
79.59,63.75,23.07,26.53,178.13,4.2,570
80.13,64.74,21.69,21.9,192.43,3.65,571
79.8,62.75,23.34,19.27,190.19,3.83,572
80.1,64.59,21.79,28.36,177.62,4.34,573
80.24,62.63,23.01,27.16,174.85,3.99,574
80.19,63.63,23.2,24.26,188.26,3.86,575
83.7,63.55,21.35,23.56,183.4,3.88,576
79.78,62.48,21.34,24.29,180.0,3.92,577
79.53,63.87,21.14,23.89,163.66,3.6,578
80.04,62.01,23.15,23.26,189.61,3.6,579
70.36,63.16,22.36,26.19,180.02,4.21,580
72.44,62.36,22.6,25.58,189.84,3.77,581
69.97,63.26,21.76,20.56,171.44,4.09,582
70.75,64.53,21.94,20.5,192.74,3.75,583
77.73,55.59,22.9,20.35,186.02,3.68,584
74.85,54.24,20.93,25.93,181.6,3.68,585
75.97,71.17,18.46,25.93,194.55,3.87,586
69.23,60.84,20.88,25.93,183.78,4.0,587
74.67,55.55,23.01,25.93,189.59,4.19,588
74.83,60.72,21.14,25.93,173.95,4.04,589
71.47,59.92,22.84,25.93,181.47,3.83,590
74.07,67.48,23.26,25.93,178.99,3.97,591
78.43,54.03,26.98,25.93,193.31,3.86,592
69.54,54.8,20.84,25.93,201.88,3.75,593
78.06,58.28,23.87,25.93,199.93,3.64,594
76.71,63.78,24.51,25.93,195.08,3.9,595
76.76,55.9,33.02,25.93,197.16,3.69,596
68.61,66.38,23.47,25.93,200.94,4.15,597
68.92,58.4,24.81,25.93,200.5,2.73,598
71.9,56.31,24.77,25.93,199.71,3.83,599
73.93,58.87,29.15,25.93,198.32,3.52,600
76.38,59.64,28.69,25.93,197.3,5.13,601
74.14,57.35,27.1,25.93,197.06,4.0,602
66.7,56.39,23.77,25.93,201.41,3.51,603
64.81,61.43,27.41,25.93,196.98,4.23,604
70.97,69.38,24.64,25.93,201.53,3.91,605
72.91,68.37,26.16,25.93,202.23,4.09,606
76.07,58.63,21.45,25.93,201.03,3.88,607
68.8,52.79,23.88,23.46,197.24,4.14,608
71.26,53.42,22.98,22.57,196.34,3.84,609
77.78,49.09,15.86,22.66,203.41,3.93,610
72.56,62.86,26.71,23.76,197.57,4.21,611
72.59,68.87,29.34,23.95,204.77,4.4,612
71.57,76.65,25.21,23.18,202.75,4.45,613
72.98,68.04,25.07,23.82,200.18,3.79,614
72.71,58.14,25.33,24.11,198.01,4.08,615
75.19,56.16,25.11,22.67,198.91,3.96,616
77.31,63.07,25.33,22.95,200.6,3.98,617
75.76,70.22,26.1,24.27,195.47,4.34,618
77.97,61.41,25.17,23.04,193.93,4.05,619
75.16,68.6,25.3,23.33,188.64,4.51,620
74.53,53.33,25.08,25.01,191.91,3.85,621
70.46,66.61,25.24,23.56,184.16,3.68,622
76.4,58.34,25.0,23.43,177.29,3.45,623
72.57,67.12,27.47,23.37,193.69,3.52,624
71.23,64.49,25.2,23.76,190.93,3.65,625
73.47,63.56,25.73,24.47,188.94,3.33,626
72.92,61.61,25.3,25.32,186.27,3.42,627
72.21,60.98,25.66,22.86,187.78,3.45,628
58.27,62.29,25.4,24.08,190.66,3.63,629
75.65,60.79,25.7,23.98,192.95,3.57,630
74.09,66.02,25.5,24.31,195.19,3.39,631
